package	old	new	evidence
com.moonsworth.lunar.bridge	Annotation2	BridgeParameterTarget	RUNTIME annotation whose only member is Annotation3[] method1(); placed on bridge-method parameters to describe the per-version lens/field path. ParameterConversionEmitter checks Type.getDescriptor(Annotation2.class) on the parameter annotations and Bridge4_2 parses it into Bridge6_6 lenses. Sibling bridge.Annotation carries value()+Annotation3[] for the member itself.
com.moonsworth.lunar.bridge	Annotation3	BridgeVersionTarget	version entry of the bridge mapping: int version() + Annotation4[] method1(); nested in @Annotation/@Annotation2 as e.g. @Annotation3(version = 0, method1 = @Annotation4("worldObj")).
com.moonsworth.lunar.bridge	Annotation4	BridgeTarget	leaf target descriptor of the mapping chain: String[] value() holding a member path ("posX", {"position","x"}).
com.moonsworth.lunar.bridge	Bridge13	ShaderUniformsSetter	bridge$setShaderUniforms(Bridge6_8); Bridge6_8 is the shader-uniform set (getShaderUniform/bindSampler/getProgram/apply/clear/close) also exposed by RenderTypeBridge.bridge$getShaderUniforms. No 1.8.9 implementor/reference.
com.moonsworth.lunar.bridge	Bridge4	CoreMarkerBridge	empty marker interface (javap: no members, only Object super); no implementors nor references in tree or lunar-all-final.jar. Decompiled from bridge/mixinShared/mixinCore/Bridge4.
com.moonsworth.lunar.bridge	Bridge6	SharedMarkerBridge	empty marker interface (javap: no members, only Object super); no implementors nor references in tree or lunar-all-final.jar. Decompiled from bridge/mixinShared/Bridge6.
com.moonsworth.lunar.bridge	Bridge7	LightOverlayTrackerProvider	sole method Bridge5_5 bridge$lightOverlayTracker(); Bridge5_5 is the LightOverlayTracker (ThreadLocal<Bridge9_7>) and RenderChunk Bridge9_7 declares the same method, so this is the dead sibling provider. No references in this build.
com.moonsworth.lunar.bridge	BridgeExtension2	EntityFallingBlockBridge	EntityFallingBlockMixin (@Mixin net.minecraft.entity.item.EntityFallingBlock) implements it; bridge$getBlock() returns blockObj$v1_7 or fallTile.getBlock(); consumed by SkyblockHideFallingBlocks/MidasBlocks.
com.moonsworth.lunar.bridge	BridgeExtension3	LocalPlayerBridge	empty marker extending BridgeExtension; the only use is `!(entity instanceof BridgeExtension3)` in GuiRewindhandlers2, which excludes one entity from the rewind nameplate entity set (the local player). No implementor shipped in this build.
com.moonsworth.lunar.bridge	BridgeExtension_8	ScaledEntityRenderStateBridge	extends EntityRenderStateBridge (Bridge_61) adding bridge$getScale()/bridge$setScale(float).
com.moonsworth.lunar.bridge	BridgeType_11	TextureFormat	enum RGBA8(4)/RED8(1)/DEPTH32(4) with pixelSize() + hasColorAspect()/hasDepthAspect(); passed to AbstractTexture.bridge$allocate as the glTexImage2D internal format (AbstractTextureMixin rejects non-RGBA8).
com.moonsworth.lunar.bridge	BridgeType_12	DepthTestFunction	implements GlEnum (Bridge_23) with GL depth-test ids 512..519 (NEVER/LESS/EQUAL/LEQUAL/GREATER/NOTEQUAL/GEQUAL/NO_DEPTH_TEST); Lunar's own copy of the depth-func enum, distinct from the applied BridgeType_10 -> DepthFunction.
com.moonsworth.lunar.bridge	BridgeType_13	ClickTypeBridge	PICKUP/QUICK_MOVE/SWAP/CLONE/THROW/QUICK_CRAFT/PICKUP_ALL with fromId/fromVanilla/toId/toVanilla; passed to bridge$clickSlot in MixinHelper23 = net.minecraft.inventory.ClickType.
com.moonsworth.lunar.bridge	BridgeType_14	BufferUsage	implements GlEnum with GL_*_DRAW/READ/COPY ids 35040..35050 plus readable/writable flags = OpenGL buffer usage hint. No references in this build.
com.moonsworth.lunar.bridge	BridgeType_16	BufferTarget	STORAGE_BUFFER/UNIFORM_BUFFER; keys of the Map<Integer,BufferTarget> passed to ComputeProgramBridge (Bridge_29) buffer bindings in Fov4_3 gecko-compute code.
com.moonsworth.lunar.bridge	BridgeType_17	BufferMode	IMMEDIATE/BATCHED; passed to VertexConsumer (Bridge2_32).method17 by every debug/box renderer (Click, Worldeditcui, ServerBorders, Nameplate2, Holograms, ...) to choose immediate vs batched drawing.
com.moonsworth.lunar.bridge	BridgeType_2	ResourcePackFormat	v1_6$1_8(1) .. v1_17(7) with getId(); returned by ResourcePackListEntryImpl.getResourcePackFormat$v1_12 / func_183019_a.
com.moonsworth.lunar.bridge	BridgeType_3	AttenuationTypeBridge	NONE/LINEAR; attenuation argument of SoundHandler.bridge$play (Bridge3_11), implemented by legacy/mixin/SoundHandlerMixin which imports net.minecraft.client.audio.ISound.AttenuationType.
com.moonsworth.lunar.bridge	BridgeType_4	PacketDirectionBridge	SERVERBOUND/CLIENTBOUND; packet flow used by HighlightImpl13 / protocol-info getters (Bridge_20.bridge$getClientboundProtocolInfo).
com.moonsworth.lunar.bridge	BridgeType_5	ItemTransformTypeBridge	NONE/THIRD_PERSON_LEFT_HAND/.../FIRST_PERSON_LEFT_HAND/HEAD/GUI/GROUND/FIXED with getSerializedName() + firstPerson(); = ItemCameraTransforms.TransformType, passed to Bridge4_14.bridge$render.
com.moonsworth.lunar.bridge	BridgeType_7	TransparencyType	OPAQUE/OPAQUE_DECAL/OPAQUE_TRIM/GENERAL_TRANSPARENT/DECAL/WATER_MASK/LINES returned by RenderTypeBridge.bridge$getTransparencyType.
com.moonsworth.lunar.bridge	BridgeType_9	PixelFormat	ABGR/ARGB; channel order of a texture image (Bridge6_9.method6), checked in Bridge7Handler.bridge$upload/readback (expects ARGB).
com.moonsworth.lunar.bridge	Bridge_11	GlFenceSyncBridge	GL sync-fence ops glFenceSync/glDeleteSync/glClientWaitSync; implemented by legacy/wrapper/BridgeHandler (GL32), registered through Bridge.method67.
com.moonsworth.lunar.bridge	Bridge_12	ContainerBridge	marker interface; ContainerMixin (@Mixin net.minecraft.inventory.Container) implements it and ContainerChestBridge/BridgeExtension2_8 extend it; OpenWindow/WindowItems packet builders take it.
com.moonsworth.lunar.bridge	Bridge_13	MixinTargetMember	ichor target-member node: ClassNode + MixinHelper3 + FieldNode/MethodNode + MixinHelper2 + isInterface; PathEmitter walks a List<Bridge_13> and builds the field/method emitter chain.
com.moonsworth.lunar.bridge	Bridge_14	EntitySkeletonBridge	EntitySkeletonMixin (@Mixin net.minecraft.entity.monster.EntitySkeleton) implements it; bridge$isWitherSkeleton() = getSkeletonType()==1 for MC_VERSION<5.
com.moonsworth.lunar.bridge	Bridge_15	BytecodeEmitter	instruction-emitter SPI: method1(Bridge_67, Queue<MethodParameter>, Stack<MixinHelper3>, InsnList); implemented by NewInstanceEmitter/FieldGetEmitter/FieldSetEmitter/ReturnEmitter/ParameterConversionEmitter/InvocationEmitter.
com.moonsworth.lunar.bridge	Bridge_16	PacketFactory	packet factory singleton (Bridge.method59): method5..method34 return the per-packet *PacketBridge builders and method1..method4 read/write protocol info; used by the rewind nameplate recorders.
com.moonsworth.lunar.bridge	Bridge_17	BlockEntityRendererBridge	bridge$shouldRenderOffScreen(entity)/bridge$getViewDistance()/bridge$shouldRender(entity, extra); returned by Bridge2_31.bridge$getBlockEntityRenderer and passed to bridge$render.
com.moonsworth.lunar.bridge	Bridge_18	GuiChestBridge	marker interface; GuiChestMixin (@Mixin net.minecraft.client.gui.inventory.GuiChest) implements it; used by InventoryMod.
com.moonsworth.lunar.bridge	Bridge_19	LevelRendererVisibilityBridge	@VersionGate(min=39): bridge$isVisible(AABB)/bridge$isBlockVisible(x,y,z)/bridge$getPartialTicks(); modern renderer culling subset (no 1.8.9 implementor).
com.moonsworth.lunar.bridge	Bridge_2	CustomBufferSourceHolder	@VersionGate(min=33): bridge$getCustomBufferSource()/bridge$setCustomBufferSource(MultiBufferSourceBridge); lets a render context override the MultiBufferSource. No 1.8.9 reference.
com.moonsworth.lunar.bridge	Bridge_20	NetworkManagerBridge	NetworkManagerMixin (@Mixin net.minecraft.network.NetworkManager) implements it: bridge$getClientPacketListener/bridge$getEnteredHostName/bridge$getRemoteAddress/bridge$channelInactive.
com.moonsworth.lunar.bridge	Bridge_21	MovementInputBridge	MovementInputMixin (@Mixin net.minecraft.util.MovementInput) implements it: moveStrafe/moveForward/sneak/jump getters+setters; horsestats.BridgeExtension extends it.
com.moonsworth.lunar.bridge	Bridge_22	EntityRegistryBridge	bridge$getEntityString(Entity)/bridge$getEntityId(String); implemented by bridgeimpl/mixin/MixinHelper via ForgeRegistries.ENTITIES + EntityList.getKey/getID, registered by FMLClientHandlerMixin.
com.moonsworth.lunar.bridge	Bridge_23	GlEnum	base of the GL-enum bridge interfaces: getGlId()/isSupported(); implemented by ShaderStageType, PolygonMode, DepthTestFunction (BridgeType_12), BufferUsage (BridgeType_14), ...
com.moonsworth.lunar.bridge	Bridge_24	InventoryPlayerBridge	bridge$getSelectedSlot/bridge$getMainInventory/bridge$getArmorInventory/bridge$getOffhandInventory/bridge$setOffhandItem; = net.minecraft.entity.player.InventoryPlayer (returned by bridge$getInventory).
com.moonsworth.lunar.bridge	Bridge_25	MiscMarkerBridge	empty marker interface (javap: no members, only Object super); no implementors nor references in tree or lunar-all-final.jar. Decompiled from bridge/mixinShared/mixinExtra/mixinMisc/Bridge.
com.moonsworth.lunar.bridge	Bridge_26	INetHandlerBridge	PacketMixin.bridge$handle(Bridge_26) calls processPacket((INetHandler)); NetHandlerPlayClientBridge and BridgeExtension2_6 (send) extend it = net.minecraft.network.INetHandler.
