# Wave 6 framework/** move map (client/framework, non-feature subtrees + 112 loose classes)
# old.package	Old	new.package	New	evidence
com.moonsworth.lunar.client.framework	AbstractFeature	com.moonsworth.lunar.client.framework.mod	AbstractFeature	mod base class (getId/isEnabled/options/children/trait map, JsonPersistable); every client/mod/** feature extends it -> mod framework
com.moonsworth.lunar.client.framework	AlertExtension	com.moonsworth.lunar.client.framework.mod	AlertExtension	mod children trait (AlertExtension<Framework7Extension>, map of category->children, factory Nameplate3) -> mod framework
com.moonsworth.lunar.client.framework	ArgumentCommandNode	com.moonsworth.lunar.client.command	ArgumentCommandNode	command node taking a CommandArgumentParser argument (Brigadier-style) -> command framework
com.moonsworth.lunar.client.framework	BackgroundHudComponent	com.moonsworth.lunar.client.ui.hud	BackgroundHudComponent	HUD component wrapper drawing a background quad -> HUD framework
com.moonsworth.lunar.client.framework	BoundArguments	com.moonsworth.lunar.client.command	BoundArguments	bound command argument map (String/int/double/duration) -> command framework
com.moonsworth.lunar.client.framework	Calculator2Handler	com.moonsworth.lunar.client.framework.mod	Calculator2Handler	category registry (new/hud/server/mechanic/dev/none) used by feature GUI; superseded twin of ModCategory -> mod framework
com.moonsworth.lunar.client.framework	ChildModBinding	com.moonsworth.lunar.client.framework.mod	ChildModBinding	child-mod binding trait (bound Framework7Extension + enabled BooleanSupplier, factory ConditionalChildBinding) -> mod framework
com.moonsworth.lunar.client.framework	ClientCommand	com.moonsworth.lunar.client.command	ClientCommand	registered client command wrapper around LiteralCommandNode (name/aliases/enabled/execute) -> command framework
com.moonsworth.lunar.client.framework	CommandArgumentParser	com.moonsworth.lunar.client.command	CommandArgumentParser	abstract command argument parser base (parse + suggestions, ThreadModuleDump27 cursor) -> command framework
com.moonsworth.lunar.client.framework	CommandArguments	com.moonsworth.lunar.client.command	CommandArguments	read-only command argument accessor (getString/getInteger/getDouble/getDuration) -> command framework
com.moonsworth.lunar.client.framework	CommandExecutor	com.moonsworth.lunar.client.command	CommandExecutor	functional command executor (execute(CommandArguments)) -> command framework
com.moonsworth.lunar.client.framework	CommandNode	com.moonsworth.lunar.client.command	CommandNode	abstract command tree node (children, executor, parse(StringCursor,BoundArguments)) -> command framework
com.moonsworth.lunar.client.framework	CommandParser	com.moonsworth.lunar.client.command	CommandParser	command dispatcher parsing a full command string through a LiteralCommandNode tree -> command framework
com.moonsworth.lunar.client.framework	ConditionSetBuilder	com.moonsworth.lunar.client.ui.hud	ConditionSetBuilder	builds a HudConditionSet from four ConditionState predicates (duplicate of MixinCore$Data, 0 refs) -> HUD framework
com.moonsworth.lunar.client.framework	DurationArgumentParser	com.moonsworth.lunar.client.command	DurationArgumentParser	argument parser for Duration values -> command framework
com.moonsworth.lunar.client.framework	DynamicCondition	com.moonsworth.lunar.client.framework.mod	DynamicCondition	dynamic enabled-condition trait (isEnabled/setEnabled, factory Framework11Handler) -> mod framework
com.moonsworth.lunar.client.framework	EmptyHudComponent	com.moonsworth.lunar.client.ui.hud	EmptyHudComponent	zero-size HudComponent placeholder -> HUD framework
com.moonsworth.lunar.client.framework	FeatureToggleKeybind	com.moonsworth.lunar.client.framework.mod	FeatureToggleKeybind	per-feature toggle keybind option created by AbstractFeature; ModifierKeybindOption + OptionRegistrant -> mod framework
com.moonsworth.lunar.client.framework	Framework	com.moonsworth.lunar.client.framework.mod	Framework	old-generation per-mod trait/attribute registry (hud_renderer/enabled/options/... keys) used by old tree; twin of ModTraits -> mod framework
com.moonsworth.lunar.client.framework	Framework10	com.moonsworth.lunar.client.framework.mod	Framework10	old-generation mod display trait (icon/lastModified/render); twin of ModDisplay -> mod framework
com.moonsworth.lunar.client.framework	Framework10Extension	com.moonsworth.lunar.client.framework.mod	Framework10Extension	old-generation lifecycle/event trait (init/options/children/reload); twin of ModLifecycle -> mod framework
com.moonsworth.lunar.client.framework	Framework11	com.moonsworth.lunar.client.framework.mod	Framework11	old-generation dynamic condition trait (isEnabled/setEnabled); twin of DynamicCondition -> mod framework
com.moonsworth.lunar.client.framework	Framework12	com.moonsworth.lunar.client.framework.mod	Framework12	old-generation panel position trait (x/y/scale/reset); twin of PanelPosition -> mod framework
com.moonsworth.lunar.client.framework	Framework2	com.moonsworth.lunar.client.framework.mod	Framework2	old-generation mod categories trait (set of category types); twin of ModCategories -> mod framework
com.moonsworth.lunar.client.framework	Framework4	com.moonsworth.lunar.client.framework.mod	Framework4	old-generation child-mod binding trait (ChildModBinding factories) -> mod framework
com.moonsworth.lunar.client.framework	Framework5	com.moonsworth.lunar.client.framework.mod	Framework5	old-generation option container trait (option sets/prune/register); twin of OptionContainer -> mod framework
com.moonsworth.lunar.client.framework	Framework6	com.moonsworth.lunar.client.framework.mod	Framework6	old-generation page state trait (enabled/withEnabled); twin of PageState -> mod framework
com.moonsworth.lunar.client.framework	Framework7	com.moonsworth.lunar.client.framework.mod	Framework7	mod restriction trait (isRestricted/reload, binds a Nameplate predicate) -> mod framework
com.moonsworth.lunar.client.framework	Framework7Extension	com.moonsworth.lunar.client.framework.mod	Framework7Extension	the mod/feature interface (getId/isEnabled/updateEnabled/options/children/serialize); implemented by every feature -> mod framework
com.moonsworth.lunar.client.framework	Framework7Loader	com.moonsworth.lunar.client.framework.mod	Framework7Loader	per-mod keybind config (ichor_keybind trait): loads/saves bound keybinds via JsonObject -> mod framework
com.moonsworth.lunar.client.framework	FrameworkType	com.moonsworth.lunar.client.framework.mod	FrameworkType	mod load-stage enum (CONSTRUCTOR..COMPLETE); twin of ModLoadState -> mod framework
com.moonsworth.lunar.client.framework	GreedyStringArgumentParser	com.moonsworth.lunar.client.command	GreedyStringArgumentParser	greedy string argument parser (rest of input) -> command framework
com.moonsworth.lunar.client.framework	Gui2Extension	com.moonsworth.lunar.client.ui.hud	HudPlacement	shared HUD placement enum (TOP/BOTTOM/MIDDLE/LEFT/RIGHT, OptionEnumValue) returned by getHorizontal/getVertical -> HUD framework (renamed: client.hitbox.Gui2Extension, a row-alignment enum, also lands in client/ui/hud via moves-mods.tsv)
com.moonsworth.lunar.client.framework	HideableHudComponent	com.moonsworth.lunar.client.ui.hud	HideableHudComponent	HudComponentWrapper with boolean/Supplier visibility toggle -> HUD framework
com.moonsworth.lunar.client.framework	HudAlignment	com.moonsworth.lunar.client.ui.hud	HudAlignment	HUD alignment enum (OptionEnumValue) used by HUD mods -> HUD framework
com.moonsworth.lunar.client.framework	HudAnchor	com.moonsworth.lunar.client.ui.hud	HudAnchor	HUD anchor enum + padding math (OptionEnumValue) used by every hud element -> HUD framework
com.moonsworth.lunar.client.framework	HudComponent	com.moonsworth.lunar.client.ui.hud	HudComponent	HUD element contract (clearCache/getWidth/getHeight/draw(HudRenderContext)) -> HUD framework
com.moonsworth.lunar.client.framework	HudComponentDecorator	com.moonsworth.lunar.client.ui.hud	HudComponentDecorator	abstract pass-through HudComponent decorator base -> HUD framework
com.moonsworth.lunar.client.framework	HudComponentGroup	com.moonsworth.lunar.client.ui.hud	HudComponentGroup	HUD layout group (START/CENTER/END/Spacer) composing child components -> HUD framework
com.moonsworth.lunar.client.framework	HudComponentStyle	com.moonsworth.lunar.client.ui.hud	HudComponentStyle	spacing/style fluent interface for HUD components (old twin of MixinCore7) -> HUD framework
com.moonsworth.lunar.client.framework	HudComponentValue	com.moonsworth.lunar.client.ui.hud	HudComponentValue	value holder for HUD components (fixed value or Supplier, nullable) -> HUD framework
com.moonsworth.lunar.client.framework	HudComponentWrapper	com.moonsworth.lunar.client.ui.hud	HudComponentWrapper	self-typed wrapper base for HudComponents -> HUD framework
com.moonsworth.lunar.client.framework	HudConditionSet	com.moonsworth.lunar.client.ui.hud	HudConditionSet	four-condition visibility set (TL/TR/BL/BR) evaluated per HudElement -> HUD framework
com.moonsworth.lunar.client.framework	HudElementBase	com.moonsworth.lunar.client.ui.hud	HudElementBase	base HudRenderer element (x/y/anchor/scale, draw(HighlightImpl); implements MixinCore9Extension) -> HUD framework
com.moonsworth.lunar.client.framework	HudLine	com.moonsworth.lunar.client.ui.hud	HudLine	one HUD line (item/icon/component + text) rendered by HUD elements -> HUD framework
com.moonsworth.lunar.client.framework	HudRenderContext	com.moonsworth.lunar.client.ui.hud	HudRenderContext	render context passed to HudComponent.draw (drawer, chatOpen, mouse, scale, coords) -> HUD framework
com.moonsworth.lunar.client.framework	HudRowElement	com.moonsworth.lunar.client.ui.hud	HudRowElement	abstract deprecated row-based HUD element (extends HudElementBase) -> HUD framework
com.moonsworth.lunar.client.framework	HudSize	com.moonsworth.lunar.client.ui.hud	HudSize	HUD min/max width/height record used by HUD components -> HUD framework
com.moonsworth.lunar.client.framework	IntegerArgumentParser	com.moonsworth.lunar.client.command	IntegerArgumentParser	argument parser for Integer values -> command framework
com.moonsworth.lunar.client.framework	ItemMapHandler	com.moonsworth.lunar.client.framework.loading	ItemMapHandler	loadable key->value registry (init/close + LoadingStage registration via Fishing3 loading manager) -> loading framework
com.moonsworth.lunar.client.framework	ItemSetHandler	com.moonsworth.lunar.client.framework.loading	ItemSetHandler	loadable item set registry (init/close + LoadingStage registration) -> loading framework
com.moonsworth.lunar.client.framework	ItemStackHudComponent	com.moonsworth.lunar.client.ui.hud	ItemStackHudComponent	HudComponent rendering an ItemStack/ItemBridge icon -> HUD framework
com.moonsworth.lunar.client.framework	JsonFileConfig	com.moonsworth.lunar.client.config	JsonFileConfig	JSON config file interface (file/load/save, crash reporting, JsonConfigurable) -> config framework
com.moonsworth.lunar.client.framework	LiteralCommandNode	com.moonsworth.lunar.client.command	LiteralCommandNode	literal command node (name text, children/executor builders) -> command framework
com.moonsworth.lunar.client.framework	LoadableHandler	com.moonsworth.lunar.client.framework.loading	LoadableHandler	client service lifecycle contract (init/close) used by RenderSubmissionManager/ModProfileManager/PlayerCombatState -> loading framework
com.moonsworth.lunar.client.framework	MixinCore	com.moonsworth.lunar.client.command	MixinCore	old-generation argument parser base (parse + suggestions); twin of CommandArgumentParser -> command framework
com.moonsworth.lunar.client.framework	MixinCore$Data	com.moonsworth.lunar.client.ui.hud	MixinCore$Data	HudConditionSet builder (constant/function/supplier conditions) -> HUD framework
com.moonsworth.lunar.client.framework	MixinCore2	com.moonsworth.lunar.client.ui.hud	MixinCore2	HudSize value object (toString says HudSize); legacy twin of HudSize -> HUD framework
com.moonsworth.lunar.client.framework	MixinCore3	com.moonsworth.lunar.client.ui.hud	MixinCore3	HudLine value object (item/icon/consumer + Component); legacy twin of HudLine -> HUD framework
com.moonsworth.lunar.client.framework	MixinCore5	com.moonsworth.lunar.client.ui.hud	MixinCore5	HUD component contract (clearCache/getWidth/getHeight/draw(HudRenderContext)); core of HUD framework
com.moonsworth.lunar.client.framework	MixinCore5Handler	com.moonsworth.lunar.client.ui.hud	MixinCore5Handler	empty/no-op MixinCore5 HUD component -> HUD framework
com.moonsworth.lunar.client.framework	MixinCore5Handler2	com.moonsworth.lunar.client.ui.hud	MixinCore5Handler2	abstract MixinCore5 delegate base over a wrapped component -> HUD framework
com.moonsworth.lunar.client.framework	MixinCore5Handler2_2	com.moonsworth.lunar.client.ui.hud	MixinCore5Handler2_2	MixinCore5 texture component (ResourceLocation + u/v size) -> HUD framework
com.moonsworth.lunar.client.framework	MixinCore5Handler2_3	com.moonsworth.lunar.client.ui.hud	MixinCore5Handler2_3	MixinCore5 delegate wrapper with visibility toggles over two components -> HUD framework
com.moonsworth.lunar.client.framework	MixinCore5Handler4	com.moonsworth.lunar.client.ui.hud	MixinCore5Handler4	MixinCore5 item-stack component (renders ItemStackBridge/Bridge6_4) -> HUD framework
com.moonsworth.lunar.client.framework	MixinCore5Handler_2	com.moonsworth.lunar.client.ui.hud	MixinCore5Handler_2	self-typed abstract MixinCore5 wrapper delegating width/height/draw -> HUD framework
com.moonsworth.lunar.client.framework	MixinCore5Impl	com.moonsworth.lunar.client.ui.hud	MixinCore5Impl	MixinCore5 boolean/hideable wrapper (fluent setters) -> HUD framework
