# Mass-name cluster B: Nameplate (14/15 pkgs; util.nameplate done by namesA), Nameplate2* families (31), Gui2Extension (21/22; util.rewindhandlers done by namesA), GuiExtension (5), framework/nameplate leftovers (15)
# oldpkg	old	newpkg	new	evidence
com.moonsworth.lunar.client.cosmetics.inactive.mixin.nameplate	Nameplate	com.moonsworth.lunar.client.cosmetics.inactive.mixin.nameplate	AnimationFileLoader	loads GeckoLib animation JSON per ResourceLocation: method1 builds AnimationCache, method3 reads the resource stream (Sentry attachment literally "animation-file-loader.json"); used by FogIterator/ModelGeometryLoader
com.moonsworth.lunar.client.driver.core.gui.mixin.nameplate	Nameplate	com.moonsworth.lunar.client.driver.core.gui.mixin.nameplate	ConversationImageUploader	conversation group-icon / chat-image upload pipeline: file picker (Gui4), 5 MiB limit, MimeTypeUtils, GetUploadUrls + presigned PUT, posts "conversation:iconUpload"/"chatImagesUploaded" JS events
com.moonsworth.lunar.client.driver.nameplate.mixin	Nameplate	com.moonsworth.lunar.client.driver.nameplate.mixin	ComponentCharCallback	@FunctionalInterface void accept(T, int) bound to DriverComponent.method17(int) (char typed) via ComponentStyleData.method26, alongside the sibling Component*Callback interfaces
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.nameplate	Nameplate	com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.nameplate	HologramTextRenderer	static draw of a string/Component at x,y with NORMAL/SHADOW/BORDER (Type); used by Holograms3_2, MapRoomRenderer, Holograms4Updater
com.moonsworth.lunar.client.framework.feature.mod.gui.nameplate	Nameplate	com.moonsworth.lunar.client.framework.feature.mod.gui.nameplate	HudVisibilityWrapper	MixinCore9Extension decorator: method4(boolean)/method30() gate rendering on IslandUtils + "hide on other islands" option; factory method4(MixinCore9Extension) used by dozens of HUD mods as Nameplate.method4(new X.Data())
com.moonsworth.lunar.client.framework.listener.nameplate	Nameplate	com.moonsworth.lunar.client.framework.listener.nameplate	EventSubscriptionRegistry	holds List<EventSubscription<Highlight>>, register()/unregister() every consumer with its priority on the LunarEventBus; siblings DynamicListenerEvent/ThreadedEvent
com.moonsworth.lunar.client.framework.nameplate	Nameplate	com.moonsworth.lunar.client.framework.nameplate	UnlockableFeature	Framework3 decorator with a locked flag (initially true): isEnabled/method3 report false and load() buffers the value until unlock() applies it; debug mods wrap Framework3.method6(default) with it
com.moonsworth.lunar.client.render.particle.nameplate	Nameplate	com.moonsworth.lunar.client.render.particle.nameplate	HologramBatchRenderer	method1 sorts MorphRenderer holograms by distance and batches them per HologramsType (PARTICLE/BLOCK) with lightmap toggle; method2 decomposes a Matrix3f into scale+Tait-Bryan angles
com.moonsworth.lunar.client.replay.highlight.nameplate	Nameplate	com.moonsworth.lunar.client.replay.highlight.nameplate	UndoRedoStore	K/V store interface with get/put/remove/method7 that applies changes inside UndoRedoManager transactions; implemented by LinkedHashMapImpl/TreeMapImpl/TransactionalSet
com.moonsworth.lunar.client.replay.mixin.nameplate	Nameplate	com.moonsworth.lunar.client.replay.mixin.nameplate	ZipEntryLocator	ZIP central-directory parser: method1(FileChannel, name) walks EOCD/ZIP64 records to return ZipEntryLocation(dataOffset, size); used by RewindFileReader for "packets.dat"
com.moonsworth.lunar.client.replay.nameplate	Nameplate	com.moonsworth.lunar.client.replay.nameplate	ReplayPacketRegistry	static Map<Integer,List<Class<? extends ReplayPacket>>>: method1 class->index of the packet id, method2 id+index -> newInstance; id 0 registers every recorded packet class
com.moonsworth.lunar.client.replay.rewindhandlers.nameplate	Nameplate	com.moonsworth.lunar.client.replay.rewindhandlers.nameplate	LayerPropertiesContext	per-layer mod (Fishing2Iterator) maps keyed by type: method2 rotates "applied" into "previously applied", cleanup() tears down entries absent from the new set; Lombok toString is literally "LayerPropertiesContext(...)"
com.moonsworth.lunar.client.replay.rewindhandlersNameplate	Nameplate	com.moonsworth.lunar.client.replay.rewindhandlersNameplate	VideoFrameBuffer	immutable ByteBuffer + width + height frame handed to the ffmpeg pipeline (RewindRenderQueue -> FFmpegRenderer.method2)
com.moonsworth.lunar.client.replay.rewindhandlersNameplateCore	Nameplate	com.moonsworth.lunar.client.replay.rewindhandlersNameplateCore	ClientboundPacketEventFactory	static factories wrapping a raw packet into a clientbound EventPacket: method1 uses CONFIGURATION, method2 uses PLAY; used by the capture/recorder classes
com.moonsworth.lunar.client.replay.nameplate	Nameplate2Impl	com.moonsworth.lunar.client.replay.nameplate	KeybindPacket	KeybindAction + boolean state; applies into ReplayContext.method15() keybind map and method4 returns the inverted packet; recorded by KeybindRecorder
com.moonsworth.lunar.client.replay.nameplate.mixin	Nameplate2Impl	com.moonsworth.lunar.client.replay.nameplate.mixin	LocationPacket	ReplayEnvironment + value string; replay sets ReplayContext.method30(new ReplayLocation(env,value)); recorded by LocationRecorder
