package	old	new	evidence	file
com.moonsworth.lunar.client.markers.mixin.holograms.mixin	Holograms2	SkinOverride	skin-override model used by Holograms2Iterator's @SerializedName("skinOverride") field: hash + url + type of a custom player skin for the emote/cosmetic hologram	com/moonsworth/lunar/client/markers/mixin/holograms/mixin/Holograms2.java
com.moonsworth.lunar.client.markers.mixin.holograms.mixin	HologramsType2	HologramSkin	@SerializedName("skin") enum SELF/ASTRONAUT/ASTRONAUT_DARK/WHITE resolving skins/<id>_1.7.png (MC_VERSION 0) or skins/<id>.png plus the slim/default skin model for the emote hologram	com/moonsworth/lunar/client/markers/mixin/holograms/mixin/HologramsType2.java
com.moonsworth.lunar.client.rewindhandlers	Rewindhandlers2	ChatActionHandler	handles clickable chat/button actions: open-URL prompt (OpenUrlPrompt/OpenUrl), run-command prompt (RunCommand/ButtonRunCommand/ButtonRunCommandPrompt), ButtonClientAction dispatch (minimap/waypoints), per-server allow-list command6, server key method7; used by animations AnimationsImpl/AnimationsImpl3	com/moonsworth/lunar/client/rewindhandlers/Rewindhandlers2.java
com.moonsworth.lunar.client.rewindhandlers	Rewindhandlers3	ApolloPacketUtils	Apollo packet decode helpers: ItemStackIcon -> item (method2, custom model data/potion/skull profile), ApolloComponent.fromJson (method4), 256-char sanitized truncate (method7), URI parse (method8) and the "Received invalid ..." reporters; used by Highlight3Iterator14/18/23/25 and friends	com/moonsworth/lunar/client/rewindhandlers/Rewindhandlers3.java
com.moonsworth.lunar.client.util.chest	Data2	RayBuilder	nested SExtension$Data2: fluent ray-trace builder holding start/end positions, entity, predicate and function; method18() resolves to a ray, error strings "RayContext must have at least one trigger!" and "Ray already has positions assigned! - RayPointSupplier"	com/moonsworth/lunar/client/util/chest/SExtension.java
com.moonsworth.lunar.client.util.chest	SBase2	FixedRay	abstract SExtension backed by two fixed endpoints + the SImpl trace config; anonymous subclass returned by SImpl.method1(...) for the block/entity raycasts	com/moonsworth/lunar/client/util/chest/SBase2.java
com.moonsworth.lunar.client.util.chest.mixin	ChestHandler2	BlockRaycastContext	empty Chest context carrying only a boolean; the S type of the SImpl BLOCK traces (field1-8: block/block-light/sky-light/biome)	com/moonsworth/lunar/client/util/chest/mixin/ChestHandler2.java
com.moonsworth.lunar.client.util.chest.mixin	ChestHandler3	EntityRaycastContext	Chest context (boolean + two floats, default 0); the S type of the ENTITY trace SImpl.field9 (RaycastDebug, Markers, RewindHandlers3Impl2)	com/moonsworth/lunar/client/util/chest/mixin/ChestHandler3.java
com.moonsworth.lunar.client.util.lotusfish.mixin	Lotusfish2	OggPage	Ogg page model: "OggS" magic (field1), version, headerType flags (continued/BOS/EOS), granule position, serial/sequence, CRC via Lotusfish.method1, segment table and packet list; "OggPage dump to byte array error"	com/moonsworth/lunar/client/util/lotusfish/mixin/Lotusfish2.java
com.moonsworth.lunar.client.util.lotusfish.mixin	Lotusfish3	OggPageReader	reads Ogg pages from a LittleEndianDataInputStream, syncs on the "OggS" capture pattern, throws "Unsupported Ogg page version", seeks to a page by granule position	com/moonsworth/lunar/client/util/lotusfish/mixin/Lotusfish3.java
com.moonsworth.lunar.client.util.nameplate	Data10	TagOrElementLocation	nested Nameplate$Data10: ResourceLocation + boolean tag flag (method1 prefixes "#"); the Codec<Nameplate.Data10> parses "#ns:path" as a tag (matches MC ExtraCodecs.TagOrElementLocation)	com/moonsworth/lunar/client/util/nameplate/Nameplate.java
