package	old	new	evidence	file
com.moonsworth.lunar.client.fov.mixin	Fov2	PhysicsPoint	3D simulation point: Vector3f position + previous position + normal, boolean locked; method1 adds a delta, method2 is Verlet integration (pos += (pos-prev)*factor), method3 derives the normal from two sibling points, method4/5 clamp into two body boxes (0.29/1.8); owned by a Fov3 solver (getX/getY grid coords)	com/moonsworth/lunar/client/fov/mixin/Fov2.java
com.moonsworth.lunar.client.fov.mixin	Fov4	DistanceConstraint	soft distance constraint over two PhysicsPoint (Fov2) with a rest length field3; method1 moves each point by half the (length-rest)/length error unless locked	com/moonsworth/lunar/client/fov/mixin/Fov4.java
com.moonsworth.lunar.client.fov.mixin	FovType2	Direction2D	enum LEFT(-1,0)/UP(0,1)/RIGHT(1,0)/DOWN(0,-1) with getAdjacent()/getOpposite()/getI()/getJ(); used as scroll/arrow direction by ScrollabletooltipsHandler2, AnimatedValue and SkyblockArrowAlign	com/moonsworth/lunar/client/fov/mixin/FovType2.java
com.moonsworth.lunar.client.fov.mixin	Gui2Handler2	EmoteGiftInfo	implements markers.mixin.gui.Gui2 JSON provider; (uuid, username, message, anonymous) of an emote gift, provide() emits uuid/username/message/anonymous; built from Emote GiftInfo in EntityRenderer4 and attached to Fov2_4 emote grants	com/moonsworth/lunar/client/fov/mixin/Gui2Handler2.java
com.moonsworth.lunar.client.framework.feature.armorstatus.nameplate	Nameplate2	ArmorStatusElementProvider	owns Armorstatus + Map<ArmorstatusType,Framework7Extension2>; update()/method1 build Map<ArmorstatusType,Nameplate> elements, resolving held/offhand/armor stacks (getArmorInventory, OFFHAND, HELD_ITEM) and empty-slot icons	com/moonsworth/lunar/client/framework/feature/armorstatus/nameplate/Nameplate2.java
com.moonsworth.lunar.client.framework.feature.armorstatus.nameplate	Nameplate3	ArmorStatusDurabilityRenderer	static: method2 draws the 13px durability bar from getItemDamage/getMaxDamage, method3 draws the stack count for the slot item (arrows/potions); called from Nameplate.method7	com/moonsworth/lunar/client/framework/feature/armorstatus/nameplate/Nameplate3.java
com.moonsworth.lunar.client.framework.feature.armorstatus.nameplate	Nameplate4	ArmorStatusPanelRenderer	panel layout/renderer: computes width/height, draws the hotbar background (textures/gui/widgets.png 182x22), border and the item grid via Bridge7Iterator.method46; supports vertical/horizontal and scale	com/moonsworth/lunar/client/framework/feature/armorstatus/nameplate/Nameplate4.java
com.moonsworth.lunar.client.framework.feature.armorstatus.nameplate	Nameplate5	ArmorStatusHud	HUD component (extends MixinCore9) for the armor status; getScale/load("durabilityPosition"), method3 renders through ArmorStatusPanelRenderer	com/moonsworth/lunar/client/framework/feature/armorstatus/nameplate/Nameplate5.java
com.moonsworth.lunar.client.framework.feature.chat	Chat2	ChatEmojiTransformer	loads assets/lunar/emoji/shortcodes.json (:shortcode: <-> unicode), transforms Components and extracts the emoji font (emoji-font, font/emoji.json, textures/font/emoji_N.png)	com/moonsworth/lunar/client/framework/feature/chat/Chat2.java
com.moonsworth.lunar.client.framework.feature.chat	Chat3	ChatMessageStacker	chat stacking: Map<Component,Data> with timestamps, dedups repeated messages and appends " [xN]" (GUI chat), configurable via Chat options	com/moonsworth/lunar/client/framework/feature/chat/Chat3.java
com.moonsworth.lunar.client.framework.feature.chat	Chat4	ChatFilter	message filter: loads a ChatMod regex file, blocks/obfuscates matching messages (Strings.repeat("*")), and bolds/italicizes/etc. the player's own name per options	com/moonsworth/lunar/client/framework/feature/chat/Chat4.java
com.moonsworth.lunar.client.framework.feature.chat	Chat5	ChatImagePreview	hover image preview: downloads https links (lunr.pics, imgur, discordapp, ...) on a "Hover Image Preview Downloader" thread, caches BufferedImage and renders the preview	com/moonsworth/lunar/client/framework/feature/chat/Chat5.java
com.moonsworth.lunar.client.framework.feature.debug.shaderdebugmod	Shaderdebugmod2	ShaderCloakExporter	exports shader cloaks as a zip (cloaks/+shaders/, export_/dev_ prefix, shader_textures_EXPORT.json, dev_cosmetics_EXPORT.json); method4 reveals the file in the OS file manager	com/moonsworth/lunar/client/framework/feature/debug/shaderdebugmod/Shaderdebugmod2.java
com.moonsworth.lunar.client.framework.feature.debug.shaderdebugmod	Shaderdebugmod3	ShaderDirectoryWatcher	WatchService thread that fires a Consumer<Path> on ENTRY_MODIFY for a directory; shutdown() closes the service and interrupts the thread	com/moonsworth/lunar/client/framework/feature/debug/shaderdebugmod/Shaderdebugmod3.java
com.moonsworth.lunar.client.framework.feature.debug.shaderdebugmod	Shaderdebugmod4	ShaderPreviewRenderer	704x544 framebuffer preview: blits a grid of shader preview tiles (method2) and clears/blits to the render target	com/moonsworth/lunar/client/framework/feature/debug/shaderdebugmod/Shaderdebugmod4.java
com.moonsworth.lunar.client.framework.feature.debug.shaderdebugmod	Shaderdebugmod5	ShaderDebugJsBridge	@CallbackJS handlers (toggleUniform, toggleHiddenUniform, updateResolution, updateShaderType, requestHotReload, createSampler, requestSamplerRename, ...) bridging the web shader editor to ShaderDebugMod	com/moonsworth/lunar/client/framework/feature/debug/shaderdebugmod/Shaderdebugmod5.java
com.moonsworth.lunar.client.framework.feature.gui	Data4	AnimationCacheEntry	nested Gui$Data4: per-vertex-array cache of the original 4 UV floats + a generation counter; used by Gui.method4 to lerp connected-texture coordinates	com/moonsworth/lunar/client/framework/feature/gui/Gui.java
com.moonsworth.lunar.client.framework.feature.gui	Gui2	HudColorOverride	static render colour/text-colour override state (method1/2 begin/end, method5 apply, method9/10 text, method17 run-with); used by Nameplate4, InventoryHud, SkyblockProtectItem and legacy mixins	com/moonsworth/lunar/client/framework/feature/gui/Gui2.java
com.moonsworth.lunar.client.framework.feature.gui	GuiUpdater2	GlassTextureProcessor	GuiUpdater for block/glass: registers glass/glass_pane_top/tinted_glass and stained variants, averages/outlines glass colours per tile	com/moonsworth/lunar/client/framework/feature/gui/GuiUpdater2.java
com.moonsworth.lunar.client.framework.feature.gui	GuiUpdater3	OreTextureProcessor	GuiUpdater for ore textures: filters stone/gray pixels with Perlin noise, handles deepslate_/ancient_debris/coal_ore variants	com/moonsworth/lunar/client/framework/feature/gui/GuiUpdater3.java
com.moonsworth.lunar.client.framework.feature.itemcounter	Itemcounter2	PotionItemCounterEntry	extends Itemcounter_2 with item "minecraft:potion" by damage; matches potions by damage/potion type and appends suffix_strong/suffix_long	com/moonsworth/lunar/client/framework/feature/itemcounter/Itemcounter2.java
com.moonsworth.lunar.client.framework.feature.itemcounter	Itemcounter3	PotionVariantItemCounterEntry	extends Itemcounter_2 from (itemId,name); handles splash/lingering and long_/strong_ variants; getLanguagePath features.ITEM_COUNTER.potions	com/moonsworth/lunar/client/framework/feature/itemcounter/Itemcounter3.java
com.moonsworth.lunar.client.framework.feature.itemcounter	Itemcounter_2	ItemCounterEntry	base entry: item id + ItemStack + cached display name; method1 id, method2 item match, toString capitalizes the id; extended by Itemcounter2/3 and ItemcounterImpl	com/moonsworth/lunar/client/framework/feature/itemcounter/Itemcounter_2.java
com.moonsworth.lunar.client.framework.feature.itemcounter	Type3	ItemCounterTextSide	nested Itemcounter$Type3: enum NONE/TOP/BOTTOM/LEFT/RIGHT implementing Gui2Extension with id(); selects which side the count label is drawn on	com/moonsworth/lunar/client/framework/feature/itemcounter/Itemcounter.java
com.moonsworth.lunar.client.framework.feature.mod.fishing.highlight	Highlight2	HighlightConfigMigrations	@VersionGate(33) registry: List<Highlight> of migration handlers + version count field2; method1 applies migrations from a stored version to the current one	com/moonsworth/lunar/client/framework/feature/mod/fishing/highlight/Highlight2.java
com.moonsworth.lunar.client.framework.feature.mod.fishing.highlight	Highlight3	HighlightMigrationContext	(JsonObject, screenWidth, screenHeight) passed to Highlight migration handlers so they can convert legacy x/y into anchor+offset	com/moonsworth/lunar/client/framework/feature/mod/fishing/highlight/Highlight3.java
com.moonsworth.lunar.client.framework.feature.mod.fishing.highlight	Highlight4	HighlightSerializer	parses/serializes Highlight5 to/from JSON (position/offsetX/offsetY/size/scale/shape/buttonColor/borderColor/command/hoverText/textSide/itemId/showInContainers)	com/moonsworth/lunar/client/framework/feature/mod/fishing/highlight/Highlight4.java
com.moonsworth.lunar.client.framework.feature.mod.fishing.highlight	Highlight5	HighlightButton	the highlight button model: position/size/scale/shape/colours/command/hoverText/itemId/showInContainers, renders an item icon button; registered as "inventoryButton-N" by Bridge7Iterator2	com/moonsworth/lunar/client/framework/feature/mod/fishing/highlight/Highlight5.java
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.nameplate	Nameplate2	LineBatchRenderer	static batched line/box renderer: method1(x,y,w,h,extension) records a segment, method2 draws a box outline, method5 reset, method6 flushes via Bridge7Iterator.method119	com/moonsworth/lunar/client/framework/feature/mod/fishing/holograms/nameplate/Nameplate2.java
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.nameplate	Nameplate3	TextRenderHelper	static string/Component list renderers over Bridge7Iterator.method82-85 (plain/centered, string/Component)	com/moonsworth/lunar/client/framework/feature/mod/fishing/holograms/nameplate/Nameplate3.java
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.nameplate	Nameplate4	WorldPosition	animated block position: two AnimatedValue x/y + owning Holograms2_5, map-progress helpers (method12/13), chunk-loaded check; used by BetterMap room/route code	com/moonsworth/lunar/client/framework/feature/mod/fishing/holograms/nameplate/Nameplate4.java
