package	old	new	evidence	file
com.moonsworth.lunar.client.framework.feature.mod.rewindhandlers	Data13	SkyblockProfileIdEvent	Rewindhandlers$Data13: String profileId; fired by holograms/fishing/GuiRewindhandlersHandler212 when "/profileid" chat returns "Profile ID: <uuid>"; consumed by GuiRewindhandlersHandler26 (enables skill tracking)	com/moonsworth/lunar/client/framework/feature/mod/rewindhandlers/Rewindhandlers.java
com.moonsworth.lunar.client.framework.feature.mod.rewindhandlers	Data14	SkyblockProfileLoadEvent	Rewindhandlers$Data14: empty; fired by holograms/fishing/GuiRewindhandlersHandler22 after SkyBlockProfileUtil.getProfileSync() returns the profile; consumed by many Skyblock HUDs and GuiRewindhandlersHandler26.method13	com/moonsworth/lunar/client/framework/feature/mod/rewindhandlers/Rewindhandlers.java
com.moonsworth.lunar.client.framework.feature.mod.rewindhandlers	Data15	SkyblockProfileChangeEvent	Rewindhandlers$Data15: (oldProfileId,newProfileId); fired by GuiRewindhandlersHandler212 when the profile id changes; consumed by per-profile HUDs and GuiRewindhandlersHandler26.method9 (clears caches)	com/moonsworth/lunar/client/framework/feature/mod/rewindhandlers/Rewindhandlers.java
com.moonsworth.lunar.client.framework.feature.mod.rewindhandlers	Data2	WormScathaSpawnEvent	HighlightBase$Data2: boolean isScatha; fired by holograms/gui/GuiRewindhandlersHandler2 on "[Lv5] Worm"/"[Lv10] Scatha" entities; consumed by SkyblockScathaTrackerHud.method11 and SkyblockWormScathaAlert (sibling Data = "something approaching" warning)	com/moonsworth/lunar/client/framework/feature/mod/rewindhandlers/HighlightBase.java
com.moonsworth.lunar.client.framework.feature.mod.rewindhandlers	Data2	CommissionStartEvent	HighlightBase2$Data2: Fishing3 commission; fired by holograms/fishing/GuiRewindhandlersHandler25 when a new "Commission #" appears; consumed by SkyblockGlaciteCommissions.method5 (sibling Data = completed, Data3 = removed)	com/moonsworth/lunar/client/framework/feature/mod/rewindhandlers/HighlightBase2.java
com.moonsworth.lunar.client.framework.feature.mod.rewindhandlers	Data2	SlayerQuestFailedEvent	HighlightBase3$Data2: (questName,timestamp); fired by holograms/fishing/GuiRewindhandlersHandler2 on "SLAYER QUEST FAILED!"/"cancelled"/boss despawn; consumed by SkyblockBlazeSlayer (sibling Data = complete, Data3 = boss spawn)	com/moonsworth/lunar/client/framework/feature/mod/rewindhandlers/HighlightBase3.java
com.moonsworth.lunar.client.framework.feature.mod.rewindhandlers	Data2	LocationEnterEvent	HighlightBase4$Data2: empty; fired by guiRewindhandlers/GuiRewindhandlersHandler23.method8 when Gui2Extension3 changes NONE->island (joined a Hypixel SkyBlock location); sibling Data = left location	com/moonsworth/lunar/client/framework/feature/mod/rewindhandlers/HighlightBase4.java
com.moonsworth.lunar.client.framework.feature.mod.rewindhandlers	Data2	KuudraEnterEvent	HighlightBase5$Data2: empty; fired by holograms/mixin/GuiRewindhandlersHandler2.method5 when the Kuudra tier (T1-T5) is first detected; sibling Data = tier lost	com/moonsworth/lunar/client/framework/feature/mod/rewindhandlers/HighlightBase5.java
com.moonsworth.lunar.client.framework.feature.mod.rewindhandlers	Data2	TerminalPhaseEvent	Rewindhandlers2$Data2: (timestamp,phaseIndex 1-4); fired by holograms/GuiRewindhandlersHandler25.method6 at each Goldor terminal phase; consumed by SkyblockTerminalSplits and SkyblockTerminalStatus	com/moonsworth/lunar/client/framework/feature/mod/rewindhandlers/Rewindhandlers2.java
com.moonsworth.lunar.client.framework.feature.mod.rewindhandlers	Data2	RoomSecretCollectedEvent	Rewindhandlers3$Data2: (RoomSecret,Vec3i position); fired by holograms/GuiRewindhandlersHandler24.method10 when a dungeon secret is found; consumed by SkyblockCollectedSecret.method3	com/moonsworth/lunar/client/framework/feature/mod/rewindhandlers/Rewindhandlers3.java
