package	old	new	evidence
com.moonsworth.lunar.bridge	MixinHelper	ClothCloakState	value class (ResourceLocation + 3 doubles, Lombok getters); only consumer is jar-only BridgeExtension222.bridge$getClothCloakState() (player bridge); Lunar cloth-cloak cosmetic state; zero src/main refs
com.moonsworth.lunar.bridge	MixinHelper$Extension	ClickableTextRenderer	@FunctionalInterface render(GuiGraphics BridgeExtension_9, PoseStack MixinHelper_4) + of(BiConsumer); nested in MixinHelper_13 (now ClickableText); Bridge2.method90(renderer,int,int) builds the label; zero src/main refs
com.moonsworth.lunar.bridge	MixinHelper$Extension3	ClickableTextContent	interface { Component bridge$getComponent(); }; nested in ClickableText (MixinHelper_13); Bridge2.method89(Component) produces it, callers cast to ClickableText; zero src/main refs
com.moonsworth.lunar.bridge	MixinHelper$Type	FoilType	enum NONE/STANDARD/SPECIAL; jar consumer MixinHelper$Extension4.bridge$foilType() (ItemStackRenderState.LayerRenderState); Mojang FoilType values
com.moonsworth.lunar.bridge	MixinHelper2$Type	ParticleStatus	enum ALL(1)/DECREASED(2)/MINIMAL(3) + getProtoId; consumer MixinHelper2_8.bridge$getParticleStatus() (GameSettings); Mojang ParticleStatus
com.moonsworth.lunar.bridge	MixinHelper2$Type2	CloudStatus	enum OFF(3)/FAST(2)/FANCY(1) + getProtoId; consumer MixinHelper2_8.bridge$getCloudStatus() (GameSettings); Mojang CloudStatus
com.moonsworth.lunar.bridge	MixinHelper2$Type3	PrioritizeChunkUpdates	enum NONE(1)/PLAYER_AFFECTED(2)/NEARBY(3)/UNSPECIFIED(0) + getProtoId; consumer MixinHelper2_8.bridge$getPrioritizeChunkUpdates(); Mojang PrioritizeChunkUpdates
com.moonsworth.lunar.bridge	MixinHelper2$Type4	TextureFiltering	enum NONE(0)/RGSS(1)/ANISOTROPIC(2) + getProtoId; consumer MixinHelper2_8.bridge$getTextureFiltering() (GameSettings); OptiFine-style texture filtering mode
com.moonsworth.lunar.bridge	MixinHelper4$Extension	TextColorTransform	@FunctionalInterface int transform(int); MixinHelper4_2.method3(transform) returns a derived colour source; used as the dynamic text-colour argument of GuiGraphics drawString (MixinHelper_4.method14/16/20); zero src/main refs
com.moonsworth.lunar.bridge	MixinHelper7$Type	LayeringMode	enum NO_LAYERING/VIEW_OFFSET_Z_LAYERING/VIEW_OFFSET_Z_LAYERING_FORWARD; builder MixinHelper7_4.method3 sets the layering state; vanilla LayeringStateShard constants
com.moonsworth.lunar.bridge	MixinHelper7$Type2	LightingMode	enum DEFAULT/DIFFUSE_LIGHTING; builder MixinHelper7_4.method10 setter (no-op stub on this version); vanilla diffuse-lighting state selector
com.moonsworth.lunar.bridge	MixinHelper7$Type3	LightmapMode	enum LIGHTMAP/NO_LIGHTMAP; builder MixinHelper7_4.method1 sets the lightmap state; vanilla LightmapStateShard constants
com.moonsworth.lunar.bridge	MixinHelper7$Type4	ShadeMode	enum FLAT/SMOOTH; builder MixinHelper7_4.method9 setter (no-op stub on this version); shade-model state
com.moonsworth.lunar.bridge	MixinHelper7$Type5	TexturingMode	enum DEFAULT_TEXTURING/GLINT_TEXTURING/ENTITY_GLINT_TEXTURING/ARMOR_ENTITY_GLINT_TEXTURING; builder MixinHelper7_4.method6 sets the texturing state; vanilla TexturingStateShard constants
com.moonsworth.lunar.bridge	MixinHelper7$Type6	OutputTarget	enum MAIN_TARGET/OUTLINE_TARGET/TRANSLUCENT_TARGET/PARTICLES_TARGET/WEATHER_TARGET/ITEM_ENTITY_TARGET; held by MixinHelper7$Data9 (output state) via method4/method6; vanilla RenderType output targets
com.moonsworth.lunar.bridge	MixinHelper7$Type7	OverlayMode	enum OVERLAY/NO_OVERLAY; builder MixinHelper7_4.method2 sets the overlay state; vanilla OverlayStateShard constants
com.moonsworth.lunar.bridge	MixinHelper7$Type8	OutlineProperty	enum NONE/IS_OUTLINE/AFFECTS_OUTLINE with getName() -> none/is_outline/affects_outline; passed to builder create method15; Mojang RenderType.OutlineProperty
com.moonsworth.lunar.bridge	MixinHelper7$Data7	OutlineState	immutable flags + ResourceLocation texture with factories for outline/affects-outline states (method3/method4) and textured states (method1/method2); builder MixinHelper7_4.method8 outline-state setter; zero src/main refs
com.moonsworth.lunar.bridge	MixinHelper7$Data8	LineState	float lineWidth + isDefault, defaults to 1.0F (method1) with custom-width factory method2; builder MixinHelper7_4.method7 line-state setter; vanilla LineStateShard shape; zero src/main refs
com.moonsworth.lunar.bridge	Bridge$Data	BridgeGenerationException	RuntimeException("Exception occurred during bridge gen stage " + stage) wrapping a BytecodeEmitter; only thrown from jar-only Bridge_67 (ichor bridge generation task); zero src/main refs
com.moonsworth.lunar.bridge	Bridge$Extension	RenderPipelineSnippet	read-only RenderPipeline parameter set (vertex/fragment shader, shaderDefines, samplers, uniforms ShaderUniformDeclaration, blend/depth/polygon/cull/write masks, vertexFormat+mode); MixinHelper4_6 (RenderPipeline.Builder) method42/43 withSnippet/snippet; MixinHelper_2 error string "register vanilla snippets"; zero src/main refs
com.moonsworth.lunar.bridge	Bridge$Type	NativeImageFormat	enum RGBA/RGB/LUMINANCE_ALPHA/LUMINANCE with component/offset flags + supportedByStb and getStbFormat(int); consumer Bridge_10.bridge$getFormat() (NativeImage); Mojang NativeImage.Format
com.moonsworth.lunar.bridge	Bridge$Type2	IndexType	enum BYTE(1)/SHORT(2)/INT(4) + bytes + least(int) version switch; consumer Bridge2_5.bridge$getIndexType() (IndexedMesh/MeshData); Mojang VertexFormat.IndexType
com.moonsworth.lunar.bridge	Bridge10$Data	GlyphAtlasEntry	record components glyphStart;glyphEnd;inBaseAtlas;index (from jar Record attribute); returned by Bridge10_2.bridge$getCodepointCharData(int) and method20(String) (font glyph lookup); zero src/main refs
com.moonsworth.lunar.bridge	Bridge12$Extension	LegacyRenderSystemBridge	@VersionGate(max=5) extension of Bridge12 adding matrix-stack/GL-state ops (method6, method2(int), method3(int), MatrixStackBridge method7, method8); Bridge12.method84 accessor; zero src/main refs
com.moonsworth.lunar.bridge	Bridge12$Extension2	ModernRenderSystemBridge	@VersionGate(min=6) extension of Bridge12 adding modern buffer ops (BufferBuilder creation, PoseStack Pose, GpuBuffer create via GlObjectBridge, vertex-format/lighting queries); Bridge12.method83 accessor; zero src/main refs
com.moonsworth.lunar.bridge	Bridge12$Type	GpuBufferUsage	enum COPY_DST(8)/COPY_SRC(16)/VERTEX(32)/INDEX(64)/UNIFORM(128)/STORAGE_BUFFER(1073741824) with mask field; varargs arg of Bridge12.method89(String,long,Usage...) -> GlObjectBridge (GpuBuffer creation); zero src/main refs
com.moonsworth.lunar.bridge	BridgeIterator5$Data	NamedMethodSignature	record components name;methodSig (from jar Record attribute); entry of BridgeIterator5's static Map<String,List<...>> used by the ichor bytecode emitter; orphan lazy class; zero src/main refs
com.moonsworth.lunar.bridge	BridgeHandler	LineBufferBuilder	implements BufferBuilderBridge; draws 2-vertex LINES from a FluentTessellatorBridge with per-vertex colours (method2/3/4/5/6 + end/endVertex). zero src/main refs
com.moonsworth.lunar.bridge	Bridge8Handler$Type	FramebufferAttachmentType	enum COLOR/DEPTH; type accessor of record Bridge8Handler(attachment), a marker for a framebuffer colour/depth texture (implements empty GpuTexture marker Bridge8_7, cf. FramebufferBridge.bridge$getColorTexture); zero src/main refs
com.moonsworth.lunar.bridge	Bridge8Handler2	TextureManagerBridge	extends Bridge13_3; bridge$loadTexture/bindTexture/deleteTexture/getTexture/getDynamicTextureLocation/getTextureMap over ResourceLocation+AbstractTexture; returned by MinecraftBridge.bridge$getTextureManager() and implanted by legacy/mixin/TextureManagerMixin
com.moonsworth.lunar.bridge	Bridge17Extension	DelegatingMultiBufferSourceBridge	extends MultiBufferSourceBridge (jar Bridge17 = BufferSource); adds bridge$setDelegate(MultiBufferSourceBridge, Function<RenderTypeBridge, VertexConsumerBridge>); zero src/main refs
