package	old	new	evidence
com.moonsworth.lunar.network	MixinHelper2	BaseGameEvent	toString "class BaseGameEvent"; 28-field telemetry event base (player_uuid, installation_id, overwolf_muid, timestamp, event_id, assetserver_session_id, launch_id, inbound_location, location, minecraft_version, lunar_client_git_commit/branch/semver, lunar_client_ui_git_commit/branch, operating_system[_release], cpu_architecture, launcher_version, canary_token, ichor_modules, gl_extensions, installed_mods, wearer_uuid/cosmetic_ids/outfit_id, trigger, geo_location); superclass of MixinHelper22/23/26
com.moonsworth.lunar.network	MixinHelper4	GameFailedParseEvent	toString "class GameFailedParseEvent"; type + data(GameFailedParseEventData) + __failed_parse Boolean; one of the anyOf GameBatchEvent variants
com.moonsworth.lunar.network	MixinHelper6	AbstractOpenApiSchema	openapi-generator AbstractOpenApiSchema: instance/isNullable/schemaType fields + abstract getSchemaType(); toString "class " + getClass(); base of the anyOf/oneOf wrappers GameBatchEvent/GameRewindLayer
com.moonsworth.lunar.network	MixinHelper7	BaseGameEventGeoLocation	toString "class BaseGameEventGeoLocation"; city/continent/country/region/region_code/postal_code/metro_code/timezone; geo_location of BaseGameEvent
com.moonsworth.lunar.network	MixinHelper8	GameRewindEditorTimeline	toString "class GameRewindEditorTimeline"; duration_ms + List<GameRewindLayer> layers
com.moonsworth.lunar.network	MixinHelper9	BaseGameEventInboundLocation	toString "class BaseGameEventInboundLocation"; type + server_ip; inbound_location of BaseGameEvent
com.moonsworth.lunar.network	MixinHelper10	BaseGameEventLocation	toString "class BaseGameEventLocation"; type + public_server(BaseGameEventLocationPublicServer) + hosted_world(BaseGameEventLocationHostedWorld); location of BaseGameEvent
com.moonsworth.lunar.network	MixinHelper11	GameEventBatchPostRequest	toString "class GameEventBatchPostRequest"; events List<GameBatchEvent>; request body POSTed to /game/event/batch by GameEventApi
com.moonsworth.lunar.network	MixinHelper12	BaseGameEventLocationHostedWorld	toString "class BaseGameEventLocationHostedWorld"; host_uuid/host_username
com.moonsworth.lunar.network	MixinHelper13	BaseGameEventLocationPublicServer	toString "class BaseGameEventLocationPublicServer"; server_mappings_id + rich_status_source/game_name/game_variant_name/game_state/player_state/map_name/sub_server
com.moonsworth.lunar.network	MixinHelper14	BaseGameEventInstalledModsInner	toString "class BaseGameEventInstalledModsInner"; id/name/version/type; element of BaseGameEvent.installed_mods
com.moonsworth.lunar.network	MixinHelper15	GameFailedParseEventData	toString "class GameFailedParseEventData"; timestamp + Map<String,Object> additionalProperties
com.moonsworth.lunar.network	MixinHelper16	GameRewindBaseLayer	toString "class GameRewindBaseLayer"; duration_ms + properties List<String>; base of the GameRewindLayer oneOf variants
com.moonsworth.lunar.network	MixinHelper22	GameRewindProjectExportEventData	toString "class GameRewindProjectExportEventData"; extends BaseGameEvent; length_ms/path/format/codec/encoder/resolution(GameRewindExportResolution)/framerate/bitrate/audio
com.moonsworth.lunar.network	MixinHelper23	GameRewindLayerAddEventData	toString "class GameRewindLayerAddEventData"; extends BaseGameEvent; layer(GameRewindLayer)
com.moonsworth.lunar.network	MixinHelper26	GameRewindRecordingEventData	toString "class GameRewindRecordingEventData"; extends BaseGameEvent; duration_ms/locations/shadow_rewind/mic_recording/system_audio_recording
