package	old	new	evidence
com.moonsworth.lunar.client.mixin	EntityFXMixin2	EntityFXMovementMixin	@Mixin(EntityFX.class) from the mobsize module (mixin-renames: mobsize/.../EntityFXMixin -> EntityFXMixin2); overrides moveEntity to skip vanilla collision physics (super.moveEntity) and only offset the bounding box while the particle-movement option Ref.method4().method41().method7().method26() is off; sibling EntityFXMixin (minimap) is the same patch
com.moonsworth.lunar.client.mixin	EntityRenderer2	YggdrasilAuthServiceFactory	not a mixin: reflective factory for com.mojang.authlib.yggdrasil.YggdrasilAuthenticationService (MC_VERSION>=19 direct (Proxy) ctor, else (Proxy,UUID) ctor); method1() used by WebSocketClientHandler to create the MinecraftSessionService
com.moonsworth.lunar.client.mixin	EntityRenderer3	ReconnectBackoff	not a mixin: websocket reconnect timer (15000ms normal / 1000ms immediate from WebSocketRichClosePush, doubling up to a max delay) plus reconnect-JWT + expiry check; used by EntityRenderer4.onClose and waypoints/WebSocketClientIterator
com.moonsworth.lunar.client.mixin	EntityRenderer4	AssetServerClient	not a mixin: the Lunar AssetServer websocket client (extends org.java_websocket.client.WebSocketClient, URI .../game, log tag "Assets"); owns every websocket service stub (Apollo/friend/conversation/cosmetic/emote/...), the ClientboundWebSocketMessage dispatch map, exposed via Client.method35()/Ref.method5()
com.moonsworth.lunar.client.mixin	EntityRenderer5	FriendChatMessage	not a mixin: a friend chat-line model (HH:mm:ss timestamp + Memory friend + message + wrapped lines) implementing markers.mixin.gui.Gui2.provide() -> {user,time,message}
com.moonsworth.lunar.client.mixin	EntityRendererMixin2	EntityRendererReachMixin	@Mixin(EntityRenderer.class) from the minimap module; redirects updateCameraAndRender -> GuiIngame.renderGameOverlay(FZII) to draw Lunar's 3D overlays/crosshair/chat, and the unique part: @ModifyVariable + @Inject on getMouseOver record the player reach into Apollo PacketEnrichmentModule (apollo$saveReachVariable / apollo$reachCheck$v1_7)
com.moonsworth.lunar.client.mixin	EntityRendererMixin3	EntityRendererOverlayMixin	@Mixin(EntityRenderer.class) from the mobsize module; redirects updateCameraAndRender -> GuiIngame.renderGameOverlay(F) to draw Lunar's 3D overlays/crosshair/chat (v1_8 signature; no reach tracking)
com.moonsworth.lunar.client.mixin	EntityRendererType2	ConnectionState	not a mixin: DISCONNECTED("disconnected")/READY("ready") enum for a websocket connection; used by EntityRenderer4, waypoints/WebSocketClientIterator and BrowserUtils
com.moonsworth.lunar.client.mixin	TextureMapMixin2	TextureMapAtlasLoadMixin	@Mixin(TextureMap.class) @MixinCondition(absent="optifine") from the minimap module; at loadTextureAtlas RETURN fires the atlas-loaded event (GuiRewindhandlersHandler2.method1(new ClickIterator)), and after each ImageIO.read applies OpaqueTextureFix (strip alpha when the source has none)
com.moonsworth.lunar.client.mixin	TextureMapMixin3	TextureMapOpaqueFixMixin	@Mixin(TextureMap.class) from the mobsize module; after TextureUtil.readBufferedImage in loadTextureAtlas applies OpaqueTextureFix (strip alpha when the source has none)
com.moonsworth.lunar.ichor.mixin	Data2	TypeVariableRef	SignatureVisitorImpl$Data2 (nested): generic type-variable reference node (extends MixinHelper3); resolve() replaces it with the formal type parameter's bound/params from the enclosing signature	com/moonsworth/lunar/ichor/mixin/SignatureVisitorImpl.java
com.moonsworth.lunar.ichor.mixin	Data3	TypeVariableName	SignatureVisitorImpl$Data3 (nested): descriptor for a type variable (getDescriptor -> "T<name>;")	com/moonsworth/lunar/ichor/mixin/SignatureVisitorImpl.java
com.moonsworth.lunar.ichor.mixin	MixinHelper2	MethodSignature	generic method signature = parameter type list + return type; getDescriptor builds "(params)return"
com.moonsworth.lunar.ichor.mixin	MixinHelper3	TypeSignature	parsed type node: base descriptor (MixinHelper) + generic type-argument list; toString renders the Java generic form
com.moonsworth.lunar.ichor.mixin	MixinHelper32	WildcardTypeSignature	unbounded wildcard type argument (toString "*"), equals() accepts any WildcardTypeSignature
com.moonsworth.lunar.ichor.mixin	MixinHelper33	ArrayTypeSignature	array type node: element/component type + dimension depth; drives MixinHelper6
com.moonsworth.lunar.ichor.mixin	MixinHelper4	ClassSignature	generic class signature = formal type parameters + superclass + interfaces
com.moonsworth.lunar.ichor.mixin	MixinHelper5	PrimitiveTypeSignature	primitive/void descriptor over org.cadixdev.bombe.type.BaseType (defaults 'V')
com.moonsworth.lunar.ichor.mixin	MixinHelper6	ArrayElementSignature	descriptor of an array node's element type: "["*depth + component descriptor
com.moonsworth.lunar.ichor.mixin	MixinHelper7	ClassTypeSignature	object/class type descriptor: getDescriptor -> "L<internalName>;", name() -> internal name
com.moonsworth.lunar.client.framework.feature.rewind	Rewind2	KeybindCombination	replay keybinding = BridgeType_8 key + ctrl/shift/alt booleans; used as the map key in Rewind4 (ReplayKeybindHandler) and matched against KeyBind modifiers
com.moonsworth.lunar.client.framework.feature.rewind	Rewind3	RewindProject	project file model (toString "RewindProject"): name, projectVersion, minecraftVersion, minecraftProtocolVersion, selectedTimeline, mediaPool (Highlight_4), repository (mixin.Rewind), externalMods; loaded/saved by Rewind2_3
com.moonsworth.lunar.client.framework.feature.rewind	Rewind4	ReplayKeybindHandler	keybind -> replay-action dispatcher (fullscreen toggle, undo/redo, save, marker, pause, step, delete, swap) built from the mod's KeyBind options; owned by RewindHandlers.field35/method56()
com.moonsworth.lunar.client.framework.feature.rewind	RewindImpl2	TextSegment	replay timeline clip of type "text" (extends Rewind_2); adds a text thumbnail
com.moonsworth.lunar.client.framework.feature.rewind	RewindIterator22	AudioSegment	replay timeline clip of type "audio" (extends RewindIterator2_2): owns an AudioStream source, applies volume/speed/decode options, draws the waveform
