package	old	new	evidence
com.moonsworth.lunar.bridge.horsestats	Horsestats20	Vec3iBridge	Vec3iMixin @Mixin(net.minecraft.util.Vec3i) implements it; bridge$getX/Y/Z, joml Vector3i bridge$toJoml and offset/above/below/axis helpers; the mutable sibling 20Extension2 is implemented by BlockPosMixin/MutableBlockPosMixin (BlockPos) and is not in this cluster
com.moonsworth.lunar.bridge.horsestats	Horsestats25	EnumFacingBridge	EnumFacingMixin @Mixin(net.minecraft.util.EnumFacing) implements it; bridge$index()/bridge$horizontalIndex() with 1.7-era fallback switch over the chunkPos fields
com.moonsworth.lunar.bridge.horsestats	Horsestats21	MovingObjectPositionBridge	MovingObjectPositionMixin implements it; bridge$getHitLocation (Vec3), bridge$getEntityHit, bridge$getBlockPosition (BlockPos), bridge$isTypeOfHit(HorsestatsType4) and bridge$getSideHit
com.moonsworth.lunar.bridge.horsestats	Horsestats19	DamageSourceBridge	DamageSourceMixin @Mixin(net.minecraft.util.DamageSource) implements it; bridge$isGeneric() -> DamageSource.generic, bridge$isPlayerAttack() -> damageType == "player"
com.moonsworth.lunar.bridge.horsestats	Horsestats22	EnumChatFormattingBridge	EnumChatFormattingMixin @Mixin(net.minecraft.util.EnumChatFormatting) implements it; bridge$formattingCode() exposes EnumChatFormatting.formattingCode
com.moonsworth.lunar.bridge.horsestats	Horsestats2	ModelRotationBridge	ModelRotationMixin @Mixin(ModelRotation) implements it, shadowing ModelRotation.rotateFace(EnumFacing) as bridge$rotateFace(EnumFacingBridge)
com.moonsworth.lunar.bridge.horsestats	Horsestats7	FaceBakeryBridge	platform impl com.moonsworth.lunar.legacy.wrapper.Horsestats7Handler wraps net.minecraft.client.renderer.block.model.FaceBakery; exposes SimpleBakedModel$Builder, ModelRotation.getModelRotation(x,y), BlockPartFace/BlockFaceUV and the six EnumFacing constants; used by Hypixelbedwars to bake bed models
com.moonsworth.lunar.bridge.horsestats	Horsestats4	GuiResourcePackListBridge	GuiResourcePackListMixin (extends GuiListExtended) implements it; setUnderlyingList(List<Bridge10_4>) writes GuiResourcePackList.field_148204_l (1.7 field_148204_l$v1_7)
com.moonsworth.lunar.bridge.horsestats	Horsestats5	IChatComponentMarker	empty marker interface extended by legacy/mixin/IChatComponentMixin (@Annotation2 max=0) and IChatComponentBridgeMixin (min=1), both @Mixin(net.minecraft.util.IChatComponent); the functional component handle for the same target is the annotated Bridge2_42 (out of this cluster)
com.moonsworth.lunar.bridge.horsestats	Horsestats10	LanguageBridge	Bridge7_6.bridge$getLanguages() returns List<Horsestats10> next to bridge$setCurrentLanguage(String); value holder of locale code/region/name+bidi flag (method1/method2/name/method3); consumed by legacy/mixin/LanguageManagerMixin
com.moonsworth.lunar.bridge.horsestats	Horsestats11	ImageConverterBridge	converts Bridge_10 (NativeImage: bridge$getPixels/getFormat/writeToFile) to/from java.awt.image.BufferedImage and scales one by an int; @Annotation2(min=6); Bridge8Extension33 screenshot path and client/fov Util2Impl icon loading both go through Bridge.method16()
com.moonsworth.lunar.bridge.horsestats	Horsestats13	ChatComponentFactoryBridge	Bridge.method57() singleton; Horsestats13Handler: method1(IChatComponent) -> getFormattedText, method2(String) -> new ChatComponentTranslation; TextBridge/ThreadModuleDump73 use it to flatten components to text
com.moonsworth.lunar.bridge.horsestats	Horsestats16	TexturedBoxBridge	Bridge2.method53(width,height) factory (used with 22x17 and 64x32 icon sprites); method1(renderContext, scale, texture, uuid) draws a cached textured box whose geometry+UVs are built in legacy/wrapper/util/Horsestats16Task; consumed by hologram/nametag renderers Module_2, Holograms12, Fov3Task
com.moonsworth.lunar.bridge.horsestats	Horsestats18	KeyBindingEntry	value holder id+source+underlying binding; ThreadModuleDump63.method24 builds it from a Lunar option (HorsestatsType5.LUNAR) or a vanilla MixinHelper_15 key binding (MINECRAFT) for the key-bind clash reporter
com.moonsworth.lunar.bridge.horsestats	Horsestats23	ClipboardBridge	Bridge.method47() singleton; Horsestats23Handler.method1/method2 delegate to ThreadModuleDump68, which reads/writes the system clipboard via AWT (and the osascript image path)
com.moonsworth.lunar.bridge.horsestats	Horsestats26	GameProfilePropertyMerger	functional helper registered by Legacy2 via Bridge.method70; method1(GameProfile, PropertyMap) does GameProfile.getProperties().putAll(map); Holograms17 uses it when the session profile has no skin properties
com.moonsworth.lunar.bridge.horsestats	Horsestats29	LunarSymbols	constants-only utility (private @Generated ctor) of Lunar chat/HUD glyphs: heart, dungeon-class icons, ✦ ✧ ✖ ✔ ⚔ ⛨ ☠ ⚡ ☀ ☽ ✿ ✰ ⚠ ∞ and friends
com.moonsworth.lunar.bridge.horsestats	HorsestatsType2	EntityEquipmentSlotBridge	MAINHAND/OFFHAND/FEET/LEGS/CHEST/HEAD plus armorValues(); used as BridgeExtension2_5.bridge$getEquipmentInSlot(HorsestatsType2) in nameplates/attack indicator -- the 1.9+ equipment-slot enum
com.moonsworth.lunar.bridge.horsestats	HorsestatsType8	ChatFormatting	client formatting enum BLACK..RESET carrying formattingCode/colorIndex and a NamedTextColor (Adventure) counterpart with nearestTo(int) and getFromAdventure; used by ~85 files as Lunar's own EnumChatFormatting
com.moonsworth.lunar.bridge.horsestats	HorsestatsType3	EnumFacingValue	standalone copy of 1.8 EnumFacing: DOWN(0,1,-1,"down") .. EAST(5,4,3,"east") with index/opposite/horizontalIndex/name and static fromEnumFacingBridge(EnumFacingBridge); the duck interface for the same concept is Horsestats25
com.moonsworth.lunar.bridge.horsestats	HorsestatsType4	MovingObjectTypeBridge	MISS/BLOCK/ENTITY hit-type enum; passed to Horsestats21.bridge$isTypeOfHit in Waila, killsounds and Skyblock metal-detector code (MovingObjectPosition.MovingObjectType)
com.moonsworth.lunar.bridge.horsestats	HorsestatsType5	KeyBindingSource	MINECRAFT/LUNAR origin tag; ThreadModuleDump63.method24 uses it to mark where a key binding in the clash report comes from
com.moonsworth.lunar.bridge.horsestats	HorsestatsType6	DyeColorBridge	16 dye colours WHITE..BLACK in 1.13+ EnumDyeColor order (LIGHT_GRAY, no SILVER); unreferenced in this build
com.moonsworth.lunar.bridge.horsestats	HorsestatsType7	ClickEventActionBridge	RUN_COMMAND/OPEN_FILE subset of vanilla ClickEvent.Action; unreferenced in this build
com.moonsworth.lunar.bridge.horsestats	Horsestats_2	RotationOperator	@FunctionalInterface producing joml Quaternionf rotations: XN/XP/YN/YP/ZN/ZP axis constants, of(Vector3f) and rotation/rotationDegrees(float)
