package	old	new	evidence
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms	Holograms2	DungeonRoute	route model: name/author, list of sections, requirement flags (pickaxe tier/etherwarp/aote/pearls), serialized to .lcroute; Holograms3_3 loads/selects them
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms	Holograms3	MapRoomRenderer	draws one room on the BetterMap: tick icon via BettermapSettings.method23, room-name/secret-count labels, outlines and hover hitbox; called per Holograms4Iterator from Holograms6Iterator
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms	Holograms4	RoomPuzzle	per-room puzzle entry: name + HoloType2 state (OPENED/COMPLETED/FAILED/ADJACENT), "???" collapses to ADJACENT; stored in Holograms2_5 and checked via method35
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms	Holograms5	SpiritLeapMap	renders the dungeon map while Spirit Leap is held; owns Fishing("spirit-leap-map") texture and drives Holograms3_2; created by SpiritLeapOverlay
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms	Holograms6	WaterBoardSolutions	dungeon/waterboard-solutions.json model (Module.method3): fast/normal room solutions of Data2 blocks with Type2 materials (COAL/GOLD/QUARTZ/...); WaterRoomSolutionGenerator writes it
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms	Holograms7	RouteSection	one section of a DungeonRoute: waypoint polyline (int[] list) + NameplateType-tagged points, serialized; Holograms3_3 tracks the active section (getSections/getIndex)
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms	Holograms8	RouteFileLoader	loads routes.json zip and Dungeon-Routes/*/*.lcroute into Map<roomId,List<DungeonRoute>>; gson Holograms4_3 -> toRoute
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms	Holograms9	RouteRenderer	renders route sections in DEPTH/ESP modes: Click.method46 boxes, method32 text, method48/50 connection lines, particle path, secret ESP text
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms	Holograms10	QuizKey	dungeon/quiz-key.json (Module.method3): skyBlockYearQuestion/totalFairySouls questions, success/failure patterns, question->answerSet/answerMap; deserialized by QuizKeyDeserializer
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms	Holograms11	DungeonSplits	splits.json (Module.method3): catacombs Map<HighlightType,List<Holograms4_4>> + kuudra Map<HighlightType2,...> boss splits; deserialized by JsonDeserializerIterator
