package	old	new	evidence	file
com.moonsworth.lunar.client.lighting.nameplate	AlertExtension2	OptionChildren	impl of nameplate AlertExtension: list-backed children container for an option (trait key "children", com.moonsworth.lunar.client.lighting.nameplate.Nameplate.field4); getChildren/add/remove/clear of LightingExtension<?>; built by AlertExtension.method2/3	com/moonsworth/lunar/client/lighting/nameplate/AlertExtension2.java
com.moonsworth.lunar.client.lighting.nameplate	GuiExtension2	OptionJsonProvider	default GuiExtension (trait "data_provider", Nameplate.field10): provide() serializes option id/value/default/isDefault/description/children/badges/name plus nested display metadata; nested Data = (OptionCategory, id) pair for the category/attribute lists	com/moonsworth/lunar/client/lighting/nameplate/GuiExtension2.java
com.moonsworth.lunar.client.lighting.nameplate	Nameplate2	OptionUpdateListeners	value of the "updates" trait (Nameplate.field1): typed update-listener registry (forEach/add/remove Consumer<? super T>, Runnable overloads, static factory -> Nameplate2Task); consumed via option.getTrait(Nameplate.field1)	com/moonsworth/lunar/client/lighting/nameplate/Nameplate2.java
com.moonsworth.lunar.client.lighting.nameplate	Nameplate3	OptionFeatureLink	value of the "feature_link" trait (Nameplate.field8): holds the owning Framework7Extension via getFeature(), constructed by Nameplate3.method1(feature); attached through AbstractOptionBuilder.method18/19	com/moonsworth/lunar/client/lighting/nameplate/Nameplate3.java
com.moonsworth.lunar.client.lighting.nameplate	Nameplate4	OptionDisplay	value of the "display" trait (Nameplate.field2): icon type (MarkersType), lazy name Supplier, action-button Runnable, hidden BooleanSupplier and the shared option JSON writer method6; built by Nameplate4Task	com/moonsworth/lunar/client/lighting/nameplate/Nameplate4.java
com.moonsworth.lunar.client.lighting.nameplate.mixin	NameplateImpl2	FloatNumberRange	mixin.Nameplate<Float> numeric option range; field5/field6 = min/max, field7 = roundTo, forceMin/forceMax flags and value_type "Float"; cached in NameplateHandler.method2	com/moonsworth/lunar/client/lighting/nameplate/mixin/NameplateImpl2.java
com.moonsworth.lunar.client.lighting.nameplate.mixin	NameplateImpl3	LongNumberRange	mixin.Nameplate<Long> numeric option range (min/max long, roundTo) and value_type "Long"; method4 rounds a double to long	com/moonsworth/lunar/client/lighting/nameplate/mixin/NameplateImpl3.java
com.moonsworth.lunar.client.lighting.nameplate.mixin	NameplateImpl4	ShortNumberRange	mixin.Nameplate<Short> numeric option range (min/max short) and value_type "Short"; method4 rounds a double to short	com/moonsworth/lunar/client/lighting/nameplate/mixin/NameplateImpl4.java
com.moonsworth.lunar.client.lighting.nameplate.mixin	NameplateImpl5	IntegerNumberRange	mixin.Nameplate<Integer> numeric option range (min/max int) and value_type "Integer"; method4 rounds a double to int	com/moonsworth/lunar/client/lighting/nameplate/mixin/NameplateImpl5.java
com.moonsworth.lunar.client.lighting.nameplate.mixin	NameplateImpl6	ByteNumberRange	mixin.Nameplate<Byte> numeric option range (min/max byte) and value_type "Byte"; method6 rounds a double to byte	com/moonsworth/lunar/client/lighting/nameplate/mixin/NameplateImpl6.java
com.moonsworth.lunar.client.animations.mixin	AnimationsImpl2	BlockedActionPrompt	no-op confirmation prompt used for the BLOCK safety action: method1/method2 are empty so Itemcounter.method7 only shows the warning screen without offering a save choice	com/moonsworth/lunar/client/animations/mixin/AnimationsImpl2.java
com.moonsworth.lunar.client.animations.mixin	AnimationsImpl3	OpenUrlPrompt	prompt for "gui.apollo.button.openUrlPrompt": saveChoice adds the whitelisted URL to method88(), saveChoiceAll adds "*"; used by ChatActionHandler.method4	com/moonsworth/lunar/client/animations/mixin/AnimationsImpl3.java
com.moonsworth.lunar.client.animations.mixin	AnimationsImpl5	MaliciousUrlPrompt	prompt for "safety.maliciousUrl.prompt": saveChoice adds the URL to the method86() allow-list; used by Itemcounter.method4	com/moonsworth/lunar/client/animations/mixin/AnimationsImpl5.java
com.moonsworth.lunar.client.animations.mixin	AnimationsImpl6	MaliciousServerPrompt	prompt for "safety.maliciousServer.prompt": saveChoice adds the server to the method85() allow-list; used by Itemcounter.method5	com/moonsworth/lunar/client/animations/mixin/AnimationsImpl6.java
com.moonsworth.lunar.client.coordinates	Coordinates2	HostedWorldSettingsHolder	wrapper around a LocalHostedWorldSettings (Coordinates5) with a single method1() accessor; FogIterator stores one (field3) via new Coordinates2(settings) and reads it back	com/moonsworth/lunar/client/coordinates/Coordinates2.java
com.moonsworth.lunar.client.coordinates	Coordinates3	HostedWorldRelay	TCP relay for a joined hosted world: connects relay address:port and localhost:publishedPort and pipes bytes both ways; ctor (relaySessionId, relayAddress, relayPort, publishedPort); created in AssetServerClient on JoinHostedWorldPush	com/moonsworth/lunar/client/coordinates/Coordinates3.java
com.moonsworth.lunar.client.coordinates	Coordinates5	LocalHostedWorldSettings	immutable hosted-world settings: @SerializedName allowCheats/customPort/port/gamemode/difficulty/worldPrivacy/startupPrivacy/autoHostOnJoin/maxSlots; nested Data is the builder, toString reads "LocalHostedWorldSettings.LocalHostedWorldSettingsBuilder"	com/moonsworth/lunar/client/coordinates/Coordinates5.java
com.moonsworth.lunar.client.coordinates	Data5	HostedWorldRelayHandler	nested Coordinates3$Data5 (NESTED row): @Sharable ChannelInboundHandlerAdapter relaying channelRead/channelInactive/exceptionCaught between the two relay channels	com/moonsworth/lunar/client/coordinates/Coordinates3.java
com.moonsworth.lunar.client.highlight.mixin.holograms	Data12	EventOptionsReload	nested HighlightBase$Data12 (NESTED row): empty Highlight event handled by SettingsOverrideDebug (re-apply overrides) and SoundChanger (re-push integer options) to refresh options after a reload	com/moonsworth/lunar/client/highlight/mixin/holograms/HighlightBase.java
com.moonsworth.lunar.client.highlight.mixin.holograms	HighlightImpl2	EventAssetServerConnected	empty Highlight event posted by AssetServerClient.onOpen right after the assets websocket handshake (AssetServerClient.method383 posts LunarEventBus.method12(HighlightImpl2::new))	com/moonsworth/lunar/client/highlight/mixin/holograms/HighlightImpl2.java
com.moonsworth.lunar.client.highlight.mixin.holograms	HighlightImpl3	EventWebSocketReady	Highlight event carrying the WebSocketClientIterator (method1()); Radio subscribes to StyngrTrack/Controls/Progress messages through it	com/moonsworth/lunar/client/highlight/mixin/holograms/HighlightImpl3.java
com.moonsworth.lunar.client.highlight.mixin.holograms	HighlightImpl4	EventFeatureToggle	Highlight event holding the owning Framework7Extension (method1()) and a boolean flag (method2()); replaymod EventRegistrationsHandler gates auto-recording on it	com/moonsworth/lunar/client/highlight/mixin/holograms/HighlightImpl4.java
com.moonsworth.lunar.client.horsestats.mixin	Horsestats2	FeatherConvertedProfile	result holder of a converted Feather profile: mods/general/controls/performance JsonObjects plus the mapped and skipped mod-id lists (structurally parallel to client.horsestats.ConvertedProfile)	com/moonsworth/lunar/client/horsestats/mixin/Horsestats2.java
com.moonsworth.lunar.client.horsestats.mixin	Horsestats3	FeatherProfileConfig	parsed Feather profile JsonObject: "**ArbitraryData**" blob plus a flat String->String settings map with typed getters (has/method5/method6/...); nested Data wraps settings + arbitrary data (parallel to BadlionProfileConfig)	com/moonsworth/lunar/client/horsestats/mixin/Horsestats3.java
com.moonsworth.lunar.client.horsestats.mixin	Horsestats4	FeatherProfileConverter	converts a FeatherProfileConfig into the four Lunar JSON files mods/general/controls/performance (method3 + ~50 per-mod converters, nested Data builder); parallel to client.horsestats.BadlionProfileConverter	com/moonsworth/lunar/client/horsestats/mixin/Horsestats4.java
com.moonsworth.lunar.client.horsestats.mixin	Horsestats5	FeatherProfileImporter	imports a Feather config json into a Lunar profile dir (method1/method6 "Feather Import", writes mods/general/controls/performance.json); also the shared option-pruner method7 used by BadlionProfileImporter.method5	com/moonsworth/lunar/client/horsestats/mixin/Horsestats5.java
com.moonsworth.lunar.client.inactive.mixin.gui.mixin	Gui2	AttackingAnimationController	GeckoLib animation controller registered as "attacking" in inactive.mixin.gui.Gui2.field1: plays idle_anim / entering_attack_anim / leaving_attack_anim based on attack age vs attack_anim_length	com/moonsworth/lunar/client/inactive/mixin/gui/mixin/Gui2.java
com.moonsworth.lunar.client.inactive.mixin.gui.mixin	Gui2Impl2	SingleAnimationController	GeckoLib animation controller registered as "single" (inactive.mixin.gui.Gui2.field1): plays one "anim" unconditionally	com/moonsworth/lunar/client/inactive/mixin/gui/mixin/Gui2Impl2.java
com.moonsworth.lunar.client.inactive.mixin.gui.mixin	Gui2Impl3	OccasionalAnimationController	GeckoLib animation controller registered as "occasional_blended" (inactive.mixin.gui.Gui2.field1): idle_anim plus occasional_anim every anim_delay/occasional_anim_length window (two controllers)	com/moonsworth/lunar/client/inactive/mixin/gui/mixin/Gui2Impl3.java
com.moonsworth.lunar.client.inactive.mixin.gui.mixin	Gui3	MolangAnimationController	GeckoLib animation controller registered as "molang" (inactive.mixin.gui.Gui2.field1): drives controllers[] from a molang Evaluator with easing type/args/transition ticks	com/moonsworth/lunar/client/inactive/mixin/gui/mixin/Gui3.java
