package	old	new	evidence	file
com.moonsworth.lunar.client.framework.feature.mod.fishing	Fishing3	SkyBlockCommission	SkyBlock commission model; Lombok toString leaks the real name "SkyBlockCommission": Type goal SLAY/COLLECT/PARTICIPATE/CRYSTAL/MISC + completed flag + glaciteTunnelsResource (mixin/FishingType GLACITE..ONYX) + resource/location/event/mobToKill/crystal/misc strings; nested Data builder + Type enum; consumed by SkyblockGlaciteCommissions	com/moonsworth/lunar/client/framework/feature/mod/fishing/Fishing3.java
com.moonsworth.lunar.client.framework.feature.mod.fishing	Fishing4	SkyBlockCommandKeybinds	persistent per-command keybind store: Map<command,LightingExtension49133> keybinds + Set<String> favorites + Map<command,Set<String>> userDefinedSubCommands + sbCommandsVersion; load/save JSON keys sbCommandKeyBinds / sbCommandFavorites / sbUserDefinedSubCommands; field211 of Skyblock, returned by Skyblock.method222	com/moonsworth/lunar/client/framework/feature/mod/fishing/Fishing4.java
com.moonsworth.lunar.client.framework.feature.mod.fishing	Fishing5	SkyBlockCommandMigration	package-private migration context passed to Fishing3_2 steps: wraps Fishing4 + JsonDeserializerIterator$Data; method3(old,new) moves a keybind, method1()/method2() expose favorites/user-defined subcommands to rename; created by Fishing2_3.method1, used by Fishing3Iterator	com/moonsworth/lunar/client/framework/feature/mod/fishing/Fishing5.java
com.moonsworth.lunar.client.framework.feature.mod.fishing	Fishing6	ChatCommandSettings	per-chat-command settings bundle: enabled LightingExtension443 + allowSelfCommand LightingExtension443 + Set<String> allowed chat types (Gui2Extension ids); isEnabled()/method1()/method2(Gui2Extension); built by SkyblockChatCommands with keys chatCommand<Name>Enabled/AllowSelfCommand/ChatTypes	com/moonsworth/lunar/client/framework/feature/mod/fishing/Fishing6.java
com.moonsworth.lunar.client.framework.feature.mod.fishing	Fishing_2	SkyBlockCommand	command-tree node; Lombok toString of nested Fishing$Data leaks "SkyBlockCommand.SkyBlockCommandBuilder": prettyName/command/allowsArguments/icon/anySubCommand/subCommands/userDefinedSubCommands/parent; key() builds "parent:child" path; deserialized from commands.json by JsonDeserializerIterator_3	com/moonsworth/lunar/client/framework/feature/mod/fishing/Fishing_2.java
com.moonsworth.lunar.client.framework.feature.mod.fishing	Fishing_3	ChatMessageQueue	static queued-chat sender: ArrayDeque<String>, method1(msg) enqueues, method2() polls one and bridge$sendChatMessage when no screen blocks it; used by Skyblock handle and the SkyBlock HUDs (e.g. SkyblockInvincibilityHud "/pc ... activated!")	com/moonsworth/lunar/client/framework/feature/mod/fishing/Fishing_3.java
com.moonsworth.lunar.client.framework.feature.mod.fishing	Fishing_4	FairySoulLocations	fairy-souls.json model: @SerializedName("fairySouls") Map<Gui2Extension3 island, Set<Vector3i>> with add/addAll/getOrDefault; owned by SkyblockFairySouls, deserialized by JsonDeserializerIterator_2	com/moonsworth/lunar/client/framework/feature/mod/fishing/Fishing_4.java
com.moonsworth.lunar.client.framework.feature.mod.fishing	JsonDeserializerIterator2	MetalDetectorLocationsDeserializer	JsonDeserializer<mixin/Fishing>: reads metal-detector-locations.json into Map<FishingType2 GOLD/DIAMOND/EMERALD/LAPIS, Set<Vector3ic>> (x/y/z objects); registered by Module.field1 and used by SkyblockMetalDetectorDataGen	com/moonsworth/lunar/client/framework/feature/mod/fishing/JsonDeserializerIterator2.java
com.moonsworth.lunar.client.framework.feature.mod.fishing	JsonDeserializerIterator_2	FairySoulLocationsDeserializer	JsonDeserializer<Fishing_4>: reads fairy-souls.json, maps each Gui2Extension3 island key to a Set<Vector3i>; registered by Module.field1	com/moonsworth/lunar/client/framework/feature/mod/fishing/JsonDeserializerIterator_2.java
com.moonsworth.lunar.client.framework.feature.mod.fishing	JsonDeserializerIterator_3	SkyBlockCommandDeserializer	JsonDeserializer<JsonDeserializerIterator$Data>: parses commands.json into a Set<SkyBlockCommand>, validating command/allowsArguments/anySubCommand/subCommands and linking parents; registered by Module.field1	com/moonsworth/lunar/client/framework/feature/mod/fishing/JsonDeserializerIterator_3.java
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers	Data4	AudioStreamAdapter	Rewindhandlers2$Data4: Gson TypeAdapter<Rewindhandlers2<?>> that serializes an audio stream as its "scheme://path" key and rebuilds a media (Rewindhandlers2Impl) or UUID (Rewindhandlers2Impl2) stream	com/moonsworth/lunar/client/framework/feature/rewind/rewindhandlers/Rewindhandlers2.java
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers	Gui2Extension2	BitrateMode	option "bitrate": AUTO_QUALITY("autoQuality")/AUTO_SIZE("autoSize")/CUSTOM("custom"); selected in the export panel Rewindhandlers_3, customBitrate only shown for CUSTOM	com/moonsworth/lunar/client/framework/feature/rewind/rewindhandlers/Gui2Extension2.java
