package	old	new	evidence
com.moonsworth.lunar.client.framework.feature.mod.holograms.fishing	GuiRewindhandlersHandler2	SlayerQuestListener	DynamicListener subclass; tracks Hypixel Slayer quest from chat + sidebar ("SLAYER QUEST COMPLETE!", "NICE! SLAYER BOSS SLAIN!", "SLAYER QUEST FAILED!", "Your Slayer Quest has been cancelled!", "Spawned by: "), regex over Revenant Horror/Atoned Horror/Tarantula Broodfather/Sven Packmaster/Voidgloom Seraph/Bloodfiend/Inferno Demonlord; fires HighlightBase3.Data (start) / Data2 (fail) / Data3 (complete) which are @Annotation3(GuiRewindhandlersHandler2.class)
com.moonsworth.lunar.client.framework.feature.mod.holograms.fishing	GuiRewindhandlersHandler22	SkyblockProfileCache	DynamicListener subclass; loads SkyBlock profile via SkyBlockProfileUtil.getProfileSync + MaskedProfileResponse.profile into Profile/Member, keyed by profile id from GuiRewindhandlersHandler212, on a 30s cooldown; fires Rewindhandlers.Data14 (@Annotation3(GuiRewindhandlersHandler22.class)); consumed by SkyblockFishingInfoHud/SkyblockQuiverHud
com.moonsworth.lunar.client.framework.feature.mod.holograms.fishing	GuiRewindhandlersHandler23	SkyblockScoreboardParser	DynamicListener subclass; parses sidebar lines into Map<String,Lotusfish3> sections via Lotusfish.method2(id) + Lotusfish3.method1; consumed by SkyBlockTabWidgetHud/SkyblockFarmingHud/SkyblockPowderTrackerHud/SkyblockVisitorAlert/SkyblockGardenPests/SkyblockEnhancedMinionMenu
com.moonsworth.lunar.client.framework.feature.mod.holograms.fishing	GuiRewindhandlersHandler24	ActionBarStatsListener	DynamicListener subclass; parses action-bar health/defense/mana/overflow/absorption via patterns "[❤\ue010]","[❈\ue008]","[✎\ue003]","[ʬ\ue017]","[♨\ue028]" and RIFT handling; exposes health/defense/mana/overflow getters; consumed by Skyblock (method16) and Holograms2_5
com.moonsworth.lunar.client.framework.feature.mod.holograms.fishing	GuiRewindhandlersHandler25	CommissionListener	DynamicListener subclass; tracks Dwarven Mines commissions from commission menu/sidebar ("Commission #", "Filter", Collector/Crystal Hunter/Slayer patterns, Goblin Raid/Raffle/Lucky Raffle, Corpse Looter/Mineshaft Explorer); fires HighlightBase2.Data/Data2/Data3 (@Annotation3(GuiRewindhandlersHandler25.class)); consumed by SkyblockGlaciteCommissions
com.moonsworth.lunar.client.framework.feature.mod.holograms.fishing	GuiRewindhandlersHandler26	SkillXpListener	DynamicListener subclass; parses SkyBlock skill XP/level from action bar, chat, tab list and skills menu; persists skyblock_skill_levels.json; error strings "Skill XP Listener", "Loading SkyBlock Skill Levels"; fires HighlightImpl4 (@Annotation3(GuiRewindhandlersHandler26.class)); consumed by SkyblockSkill*Hud
com.moonsworth.lunar.client.framework.feature.mod.holograms.fishing	GuiRewindhandlersHandler27	FishingHookTracker	DynamicListener subclass; tracks entities near the fishing hook (water/bubble + on-fire state, HorsestatsType2.FISHING/SMOKE particles), computes approach angles and returns hook position (Vector3d); consumed by SkyblockFishingBaitHud/SkyblockFishingInfoHud/SkyblockFishingReelTimerHud/SkyblockFishingHidePlayers/SkyblockFishingMarker
com.moonsworth.lunar.client.framework.feature.mod.holograms.fishing	GuiRewindhandlersHandler28	SkyblockTimeListener	DynamicListener subclass; parses sidebar " <time>am|pm <icon>" into HighlightType5 DAY/NIGHT/RAIN/THUNDER; used by HighlightType3 crop predicates (SUNFLOWER/MOONFLOWER) and HighlightType5.getFromIcon
com.moonsworth.lunar.client.framework.feature.mod.holograms.fishing	GuiRewindhandlersHandler29	EquippedItemListener	DynamicListener subclass; tracks current equipped item id/display name (THEORETICAL_HOE/PUMPKIN_DICER/MELON_DICER/COCO_CHOPPER/CACTUS_KNIFE/FUNGI_CUTTER, ANCESTRAL/ARCHAIC/DEIFIC_SPADE); fires HighlightImpl (@Annotation3(GuiRewindhandlersHandler29.class)); consumed by SkyblockAngleHud/SkyblockDivanAllToolsAlert/SkyblockWishingCompass/...
com.moonsworth.lunar.client.framework.feature.mod.holograms.fishing	GuiRewindhandlersHandler210	SkyblockLocationListener	DynamicListener subclass; parses sidebar location line (⏣/ф/\ue067/\ue020 icons) into HighlightType6.fromScoreboard (GLOWING_MUSHROOM_CAVE), prefixes "Rift " in the Rift; consumed by SkyblockGlowingMushroomHighlight
com.moonsworth.lunar.client.framework.feature.mod.holograms.fishing	GuiRewindhandlersHandler211	SkyblockElectionListener	DynamicListener subclass; refreshes SkyBlock election via SkyBlockElectionUtil.getElectionSync and answers perk lookups (mayor perks + minister perk); consumed by SkyblockDragonFeatures/SkyblockDeathCounterHud/SkyblockHarvestFeastTrackerHud
com.moonsworth.lunar.client.framework.feature.mod.holograms.fishing	GuiRewindhandlersHandler212	ProfileIdListener	DynamicListener subclass; parses "Profile ID: <uuid>" from chat, sends /profileid when unknown, exposes key "<account> - <uuid>"; fires Rewindhandlers.Data13 (id) + Data15 (old,new) (@Annotation3(GuiRewindhandlersHandler212.class))
com.moonsworth.lunar.client.framework.feature.mod.holograms.fishing	GuiRewindhandlersHandler213	GiftTracker	DynamicListener subclass; detects gift armor stands by helmet id (WHITE_GIFT/GREEN_GIFT/RED_GIFT/SLICE_OF_*_CAKE), parses "From:/To:" nameplates and caches per-entity; consumed by SkyblockHideOthersGifts
com.moonsworth.lunar.client.framework.feature.mod.holograms.fishing	Data2	Trail	nested GuiRewindhandlersHandler27$Data2 (owner GuiRewindhandlersHandler27 -> FishingHookTracker); holds a GuiRewindhandlersHandler27$Data (lastUpdate/currentAngle/pos/entity distances) plus the tracked entity-id list, used to follow entities approaching the hook	src/main/java/com/moonsworth/lunar/client/framework/feature/mod/holograms/fishing/GuiRewindhandlersHandler27.java
com.moonsworth.lunar.bridge.itemcounter	Itemcounter2	IBlockAccessBridge	unreferenced empty marker interface in the itemcounter bridge bucket; sibling of the Chunk bridge (mixin/Itemcounter2 = Chunk) and the mixin subpackage that also holds IBlockAccess-style markers
com.moonsworth.lunar.bridge.itemcounter	Itemcounter3	ChunkProviderBridge	unreferenced empty marker interface; sibling of WorldChunkManager (Itemcounter3_3) in the mixinCore subpackage, the chunk-provider handle
com.moonsworth.lunar.bridge.itemcounter	Itemcounter4	WorldSettingsBridge	empty marker implemented by legacy/mixin/WorldSettingsMixin @Mixin(net.minecraft.world.WorldSettings); passed to Minecraft bridge Bridge5_12.bridge$joinWorld(String,String,Itemcounter4,Runnable)
com.moonsworth.lunar.bridge.itemcounter	Itemcounter5	WorldProviderBridge	unreferenced empty marker interface; sibling of WorldInfo (Itemcounter5_2) in the mixinMore subpackage, the world-provider handle
com.moonsworth.lunar.bridge.itemcounter	Itemcounter7	TileEntityBridge	unreferenced empty marker interface; standalone marker in the itemcounter bridge bucket
com.moonsworth.lunar.bridge.itemcounter	Itemcounter8	LevelData	value holder path/name/version/icon File; Lombok @ToString literally emits "LevelData(path=...)" so the original simple name was LevelData (world/level summary entry)
com.moonsworth.lunar.bridge.itemcounter	ItemcounterType2	GameTypeBridge	enum SURVIVAL(0)/CREATIVE(1)/ADVENTURE(2)/SPECTATOR(3) with isAdventure/isCreative/isSurvivalOrAdventure/getByID/getByName; wraps net.minecraft.world.GameType
