package	old	new	evidence
com.moonsworth.lunar.ichor	Annotation2	VersionGate	version-gating RUNTIME @interface: value int[] exact versions, min/max (default -1), inverted, onReturn; used tree-wide as @Annotation2(min=1)/@Annotation2(max=0)/@Annotation2(2) on multiversion members/classes and read by loader/mixin/MixinHelper.method1 against Config versions
com.moonsworth.lunar.ichor	Annotation3	PipelineHook	TYPE marker (no members) on the five Ichor hook interfaces MixinHelper_2/MixinHelper_3/MixinHelper2_2/MixinHelper3_2/MixinHelper4_2; marks a type whose default methods are injected as pipeline hooks (runtime analogue: hook interfaces annotated with the TYPE annotation of the same obf family)
com.moonsworth.lunar.ichor	Annotation4	TransformAnnotation	METHOD hook annotation with String value()=".*" name filter; one of the seven Ichor hook kinds; the runtime counterpart iterates a ClassNode's visible annotations and invokes the method with (value, annotation.desc, ClassNode, AnnotationNode) - annotation-instance transform (unused in this partial tree)
com.moonsworth.lunar.ichor	Annotation5	TransformBytecode	METHOD hook annotation, no members; forge stage methods annotated with it take (String,byte[]) / (String,byte[],URLClassLoader) and return replacement class bytes (forge/Ichor2Handler_2, forge/Ichor2Iterator_2); invoker MixinHelper2_3 reads data.method1(Class) bytes and writes data.method2(byte[])
com.moonsworth.lunar.ichor	Annotation6	Smuggle	CLASS-retention FIELD/METHOD annotation carrier: boolean smuggle()=true, Class<? extends Annotation>[] remove(), Shadow shadow(); moves a mixin member's other annotations into smuggledVisible/smuggledInvisible lists before meta-mixins and restores them after (read as invisible by the two smuggle hooks)
com.moonsworth.lunar.ichor	Annotation7	TransformClass	METHOD hook annotation, no members; default/instance methods taking ClassNode or (ClassNode,URLClassLoader): Ichor2Handler.method1, Ichor2Iterator2, Ichor2Iterator_2, lotusfish Ichor2Handler/Impl/Iterator2, replaymod Ichor2Handler2, MixinHelper_2, MixinHelper_3, MixinHelper2_2
com.moonsworth.lunar.ichor	Annotation8	ProvideRemapper	METHOD hook annotation with 6 boolean flags + optional()=true; Ichor2Iterator_2.method3() is annotated with it and returns MixinMisc2 (the obf<->deobf class-name remapper) for the stage = remapper provider hook
com.moonsworth.lunar.ichor	Annotation9	Implements	TYPE annotation whose value is Annotation12[]; the Ichor equivalent of Sponge's @Implements: declares interfaces (and their members) to add to a mixin target; its element annotation Annotation12 carries Class value + available version range
com.moonsworth.lunar.ichor	Annotation10	TransformResource	METHOD hook annotation with String value() resource-path regex; invoker MixinHelper7.method2(MixinShared,URLClassLoader) matches the regex against MixinShared.getResourcePath() and invokes the annotated method with the resource payload (framework/mixin/Ichor2Handler.method2(MixinShared) loads <notch/...> bytes)
com.moonsworth.lunar.ichor	Annotation11	TransformField	METHOD hook annotation, no members; hook signature void(ClassNode,FieldNode); used by MixinHelper_2.method3, MixinHelper3_2.method1, MixinHelper4_2.method2 for field access widening; runtime counterpart loops classNode.fields
com.moonsworth.lunar.ichor	Annotation12	Interface	@Target({}) annotation-value type: Class<?> value() + Annotation2 available(); element of @Implements (Annotation9) = one injected interface with a version-availability gate (Sponge @Interface analogue)
com.moonsworth.lunar.ichor	Annotation13	Stub	RUNTIME @Documented annotation with String value()=""; Ichor2Iterator2.method3 marks the synthesized stub '<init>' with @Annotation13("Stub Constructor"); the final-stage Ichor2Handler.method1 removes every method/field carrying it
com.moonsworth.lunar.ichor	Annotation_2	MixinCondition	conditional-application annotation: present()/absent() feature lists ("forge", "optifine") + Annotation2 available() version range; used as @Annotation_2(absent="forge", available=@Annotation2(min=5)) on mixins and legacy wrapper classes to decide whether they apply
com.moonsworth.lunar.ichor	Ichor3	IchorOptions	immutable pipeline options: classpathDir(), output path method2(), @Nullable overridesDir(), Files7 files helper, List<MixinExtra> extra mixin sets, classesToDump(), List<String>, Map<String,Object> properties; Optional<MixinExtra2> method1(Collection<String>) locates a mixin source by candidate names
com.moonsworth.lunar.ichor	Ichor4	IchorStage	stage descriptor interface: name(), hasMixinRuntime(), shouldUseParentAsMixinRuntime(), shouldUseClassBytes(); implemented by the loader/Ichor4Type enum (PRE_INIT..FINAL) and loader/Ichor4Type2 (FABRIC_LOADER/ADVENTURE); runtime logs "stage"/"Must provide at least one InjectStage"/"Going to default mixins stage for"
com.moonsworth.lunar.ichor	Ichor5	IchorLoader	functional interface void loadIchor(AutoCloseableIterator2): registers its stages/mixins into an IchorPipeline; impls forge/Ichor5Loader, forge/Ichor5Loader_2, loader/mixin/Ichor5Loader, Ichor5Handler2; the pipeline logs "Found N external files and M IchorLoaders."
com.moonsworth.lunar.ichor	InheritanceProvider2	RemappingInheritanceProvider	bombe InheritanceProvider wrapper over a lorenz MappingSet: provide(name) first delegates, then retries the deobfuscated name from ClassMapping.getFullDeobfuscatedName(), returning new ClassInfoIterator(info, mappingSet).lazy(); ctor also takes the MixinHelper6$Extension fixer
com.moonsworth.lunar.ichor	MixinExtra2	MixinClassSource	located mixin class source: MixinExtra.method1(Collection<String>) tests candidate names against the module predicate and returns MixinExtra2(Ichor4 stage, className, byte[] bytes); className()/method2() are the name and bytecode handed to the mixin pipeline
com.moonsworth.lunar.ichor	MixinHelper2_2	SmuggleRestoreHook	PipelineHook interface annotated with @TransformClass and run at POST_META_MIXIN (Ichor2Handler6); walks mixin methods/fields, reads smuggledVisible/smuggledInvisible + remove() descriptors, puts the smuggled annotations back on the member and drops @Smuggle itself = restore half of annotation smuggling
com.moonsworth.lunar.ichor	MixinHelper2_3	BytecodeTransformInvoker	MixinHelper<Annotation5> (TransformBytecode) invoker: method1(AutoCloseableIterator2$Data3) reads the current class bytes via data.method1(declaringClass) and re-invokes the annotated method with 1-3 args (bytes / name+bytes / name+bytes+URLClassLoader), writing the result back with data.method2
com.moonsworth.lunar.ichor	MixinHelper3_2	FieldAccessWideningHook	PipelineHook interface with an @TransformField default method; used at EXTERNAL_REMAP by Ichor2Handler22/24/3; if the class is not a mixin or the field is non-static, and the field has no @Shadow, FatalIchorError6.method3 makes it public (clears private/protected) = field access widening
com.moonsworth.lunar.ichor	MixinHelper4_2	ExternalAccessWideningHook	PipelineHook interface; the plain (unmapped) method hook widens methods and @TransformField widens fields when the superclass is non-null and either obfuscated (superName without '/') or net/minecraft, com/mojang, net/optifine - access widening for classes with external parents
com.moonsworth.lunar.ichor	MixinHelper7	ResourceTransformInvoker	MixinHelper<Annotation10> (TransformResource) invoker: method2(MixinShared,URLClassLoader) compiles annotation.value() as a pattern, matches it against MixinShared.getResourcePath() and invoke()s the annotated method with the MixinShared payload; method1(AutoCloseableIterator2$Data3) throws "Tried to handle resource as class, shouldn't happen."
com.moonsworth.lunar.ichor	MixinHelper_2	AccessWideningHook	PipelineHook interface contributing @TransformClass (class + inner classes), plain method hook (methods) and @TransformField (fields) defaults that call FatalIchorError6.method4(access, final) to drop private/protected and set public, gated by the method4() predicate; impls Ichor2Impl (no-op) and Ichor2Handler23 (POST_REMAP, Config gate)
com.moonsworth.lunar.ichor	MixinHelper_3	SmuggleHideHook	PipelineHook interface annotated with @TransformClass and run at PRE_META_MIXIN (Ichor2Handler5); for every method/field of a @Mixin class it moves the member's annotations (except @Shadow and the carrier itself) into the @Smuggle carrier's smuggledVisible/smuggledInvisible lists and removes them = hide half of annotation smuggling
