package	old	newpkg	new	evidence
com.moonsworth.lunar.client.util.alert	Alert	com.moonsworth.lunar.client.util	ResourceUsageTracker	AsyncResourceManager.field7 = WeakHashMap<AsyncResource,Alert>; method1() resets the nanoTime stamp, method2(now) = expired after 60s unused, method3(now) fades 15s->60s (0..1), method4/5 = resident byte size; a resource-usage/expiry timer, not an alert
com.moonsworth.lunar.client.util.alert	Alert5Extension	com.moonsworth.lunar.client.render.texture	PersistentTexture	empty marker extends Bridge3_4 implemented by Alert5Impl; AbstractTextureImpl.field4 = value1 instanceof Alert5Extension and deleteGlTexture() skips release() when true -> marks a texture whose GL object persists across reloads
com.moonsworth.lunar.client.util.alert	Alert5Handler	com.moonsworth.lunar.client.render.texture	BaseTexture	implements Bridge3_4 with empty load (method1(Bridge11_2,Bridge8Extension34)) and delete (method22); passed as the default texture object in MarkerIconRenderer/StencilEmulator (textureManager.method3(id,new Alert5Handler()))
com.moonsworth.lunar.client.util.alert	Alert5Impl	com.moonsworth.lunar.client.render.texture	PersistentTextureImpl	extends Alert5Handler implements Alert5Extension; created as textureManager.method3(id,new Alert5Impl()) in TextureHandler/Minimap/Holograms/Fishing2Handler so the texture survives reloads
com.moonsworth.lunar.client.util.alert	AnimatedTexture	com.moonsworth.lunar.client.render.texture	AnimatedTexture	interface method7() -> SpriteAnimationBridge and method12() restart; HologramsIterator casts Bridge3_4 textures to it and restarts the sprite animation
com.moonsworth.lunar.client.util.alert	CloakTextureSlicer	com.moonsworth.lunar.client.cosmetics	CloakTextureSlicer	static cloak-texture helper: method2(Identifier) tests membership in Holograms12.method70() cloak set, method3-7 rescale a 2:1 cape image to the required slice size; called from SimpleTextureMixin.lunar$sliceCloakTexture
com.moonsworth.lunar.client.util.alert	CosmeticTextureLoader	com.moonsworth.lunar.client.cosmetics	CosmeticTextureLoader	static cosmetic texture loader: method1(ModuleType3,Gui2Handler,boolean) resolves the module/dynamic texture Identifier, method2 loads it through the texture manager
com.moonsworth.lunar.client.util.alert	ConnectedTexturesListener	com.moonsworth.lunar.client.framework.feature.overlay	ConnectedTexturesListener	GuiRewindhandlersHandler2 DynamicListener that parses OptiFine getConnectedTextures().getTileProperties()/getBlockProperties() into tile->ConnectedTexture lookups; consumed by framework/feature/overlay/OverlayTextureProcessor
com.moonsworth.lunar.client.util.alert	ShaderDefinition	com.moonsworth.lunar.client.render.shader	ShaderDefinition	immutable shader definition (texture, two Colorsaturation2, uniform lists, flags); method3(Colorsaturation4,BiConsumer) declares LunarModelViewMat/LunarNormalMat/LunarProjectionMat/LunarLegacyUISize; consumed only by render/shader/ShaderPass, ShaderStateHelper, ShaderPreprocessor, ShaderDebugMod
com.moonsworth.lunar.client.util.chest	Chest	com.moonsworth.lunar.client.util.raytrace	RaySegment	immutable pair of Horsestats15 endpoints (method1/method2 getters, static method3(start,end)); SBase.method1() reads both points from Supplier<Chest>; RayBuilder builds them from eye/view vectors
com.moonsworth.lunar.client.util.chest	FixedRay	com.moonsworth.lunar.client.util.raytrace	FixedRay	abstract SExtension with two fixed endpoints + SImpl config; anonymous instance returned by SImpl.method1(start,end,...) for the normal raycasts
com.moonsworth.lunar.client.util.chest	SBase	com.moonsworth.lunar.client.util.raytrace	DynamicRay	abstract SExtension whose start/end come from a Supplier<Chest>, resolved in method1() (the positions supplier path: error "Ray already has positions assigned! - RayPointSupplier"); returned by SImpl.method2(supplier,...)
com.moonsworth.lunar.client.util.chest	SExtension	com.moonsworth.lunar.client.util.raytrace	Ray	the built ray: method3() context, method4/5 start/end, method6() result factory, method8(T) traverse; nested RayBuilder resolves it (error strings "Ray already has positions assigned!", "RayContext must have at least one trigger!"); used by ~12 mods (Waila, Markers, EtherwarpPreview, RewindHandlers3Impl2, ...)
com.moonsworth.lunar.client.util.chest	SImpl	com.moonsworth.lunar.client.util.raytrace	Raycaster	ray-trace configuration/factory: Type enum BLOCK/ENTITY/CHUNK/COSMETIC/SPRAY/CLIENT_ENTITY with traverse(T,Ray), static field1..field13 per target (block/light/biome/entity/chunk/cosmetic/spray/client-entity); methods return FixedRay/DynamicRay (RayBuilder error when null: "RayContext must have at least one trigger!")
com.moonsworth.lunar.client.util.chest.mixin	Chest	com.moonsworth.lunar.client.util.raytrace	RaycastContext	empty marker interface used as the S type of every SExtension/SImpl; implemented by BlockRaycastContext, EntityRaycastContext and ChestHandler
com.moonsworth.lunar.client.util.chest.mixin	ChestHandler	com.moonsworth.lunar.client.util.raytrace	CosmeticRaycastContext	boolean-only context; S type of SImpl.field11 (COSMETIC trace, Chest2.method9) and instantiated as new ChestHandler(true) in Waila's cosmetic hit-test
com.moonsworth.lunar.client.util.chest.mixin	BlockRaycastContext	com.moonsworth.lunar.client.util.raytrace	BlockRaycastContext	boolean-only context used as S for the eight BLOCK SImpl instances (field1-field8: block/light/sky-light/biome)
com.moonsworth.lunar.client.util.chest.mixin	EntityRaycastContext	com.moonsworth.lunar.client.util.raytrace	EntityRaycastContext	(boolean + two floats, default 0) context used as S for SImpl.field9 (ENTITY) and constructed with partial-tick data in MarkerManager/RewindHandlers3Impl2
com.moonsworth.lunar.client.util.click	ByteBufferCache	com.moonsworth.lunar.client.render	ByteBufferCache	static reusable BufferUtils.createByteBuffer grown on demand, position(0) before reuse; used by legacy/mixin/AbstractTextureMixin
com.moonsworth.lunar.client.util.click	Click	com.moonsworth.lunar.client.render	PipelinePass	one render pass: Identifier texture + BiConsumer<Boolean,Bridge4_6> draw callback + RenderTypeLookup + enabled flag; held as RenderPipeline.getPasses() and produced by mchorse Animation.renderPasses(...) (RenderPass already taken by the cosmetics.emote enum)
com.moonsworth.lunar.client.util.click	Click4Impl	com.moonsworth.lunar.client.render	SkinRenderCache	extends RenderCache and only adds public String skinType; legacy/mixin/RenderManagerMixin2 casts lunar$getCache() to it, stores AbstractClientPlayer.getSkinType() and re-reads it
com.moonsworth.lunar.client.util.click	EntityRenderLayer	com.moonsworth.lunar.client.render	EntityRenderLayer	abstract layer method1(renderContext,entity,renderType,partialTicks,light) with six static instances rendering holograms, cosmetics, emote low_body/cape, nametag/armour layers and the self dummy
com.moonsworth.lunar.client.util.click	FloatArrayBuilder	com.moonsworth.lunar.client.render	FloatArrayBuilder	static singleton growable float[] with size cursor + method1(n) ensureCapacity; used by mobsize/mixin/WorldRenderer to append vertex floats
com.moonsworth.lunar.client.util.click	GlProgramCache	com.moonsworth.lunar.client.render	GlProgramCache	caches glGetInteger(GL_CURRENT_PROGRAM=35725) behind OptimizationDebugOption.GECKO_CURRENT_PROGRAM_CACHE
com.moonsworth.lunar.client.util.click	GpuResourceTracker	com.moonsworth.lunar.client.render	GpuResourceTracker	debug tracker of live GL textures/buffers/off-heap allocations with allocation Throwables; dump() prints "Texture count"/"Buffer count", error "Failed to write gpu-objects"; used by fpsdebugmod/GpuObjectsTask
com.moonsworth.lunar.client.util.click	PoseMatrixProvider	com.moonsworth.lunar.client.render	PoseMatrixProvider	interface method53(): Matrix4f; implemented by RenderContextLegacyTransform (own Matrix4fStack) and RenderContextModernTransform (joml pose of the current pose stack)
com.moonsworth.lunar.client.util.click	RenderCache	com.moonsworth.lunar.client.render	RenderCache	per-instance mutable render cache: Object value + int (default -1) + boolean + Component, get/set via method1/method2; returned by RenderCacheProvider.lunar$getCache()
com.moonsworth.lunar.client.util.click	RenderCacheProvider	com.moonsworth.lunar.client.render	RenderCacheProvider	mixin duck interface lunar$getCache(): RenderCache, implemented by legacy RenderManagerMixin2/EntityMixin2 and BridgeIterator_2
com.moonsworth.lunar.client.util.click	RenderContextLegacyTransform	com.moonsworth.lunar.client.render	RenderContextLegacyTransform	BridgeExtension3_5 implementation backed by a joml Matrix4fStack(10) (translate/scale/rotateXYZ/push/pop); throws "Unable to use recordDisplayList on RenderContextLegacyTransform"
com.moonsworth.lunar.client.util.click	RenderContextModernTransform	com.moonsworth.lunar.client.render	RenderContextModernTransform	BridgeExtension2_11 implementation exposing the joml pose of the current pose stack (method51().bridge$last().bridge$pose().bridge$toJoml()); throws "Unable to use createTessellationBuilder on RenderContextModernTransform"
com.moonsworth.lunar.client.util.click	RenderPipeline	com.moonsworth.lunar.client.render	RenderPipeline	holds a Bridge5_16 buffer source + List<PipelinePass> passes; passed as the pipeline payload of EventPreRenderPlayer.method10/11
com.moonsworth.lunar.client.util.click	StencilEmulator	com.moonsworth.lunar.client.render	StencilEmulator	singleton that creates a framebuffer + "lunar:stencil_emulator" texture, overrides the main render target and draws the stencil quad; used by mod/render/Minimap
com.moonsworth.lunar.client.util.colorsaturation	BOBJModel	com.moonsworth.lunar.client.cosmetics.emote	BOBJModel	mchorse skin_n_bones BOBJ model: ImmutableList<BOBJMesh> built from BOBJLoader.loadMeshes(compiledData), aggregates AABB (method4/6) and frees all meshes; method1/method2 render on legacy/modern paths
com.moonsworth.lunar.client.util.colorsaturation	Colorsaturation	com.moonsworth.lunar.client.cosmetics.emote	BOBJMesh	one renderable BOBJ mesh: meshSize method1(), legacy method2 / modern method3 draw, delete(), AABB method4(); static method5(CompiledData) picks ColorsaturationTask (modern) or ColorsaturationHandler (legacy)
com.moonsworth.lunar.client.util.colorsaturation	ColorsaturationHandler	com.moonsworth.lunar.client.cosmetics.emote	LegacyBOBJMesh	legacy BOBJ mesh implementation: VBO/IBO setup in method6, immediate GL11 vertex-pointer draw in method2 (@VersionGate(max=7)) and method3, AABB from posData
com.moonsworth.lunar.client.util.gui	CopyOnWriteIfNeededArrayList	com.moonsworth.lunar.client.util.collection	CopyOnWriteIfNeededArrayList	copy-on-write List whose inner list is cloned only when a mutation happens while an immutable view is live; error "CopyOnWriteIfNeededArrayList doesn't support subList()!"; used by config/option/ListenerSet
com.moonsworth.lunar.client.util.gui	Gui	com.moonsworth.lunar.client.util.collection	ReadOnlyCollection	package-private read-only collection contract (size/isEmpty/contains/toArray/containsAll/indexOf/lastIndexOf); unreferenced dead interface - candidate for deletion
com.moonsworth.lunar.client.util.gui	ImmutableListView	com.moonsworth.lunar.client.util.collection	ImmutableListView	immutable List view: every mutator throws UnsupportedOperationException("List is immutable!"); factory method1(List) wraps in ImmutableListViewImpl
com.moonsworth.lunar.client.util.gui	ImmutableListViewImpl	com.moonsworth.lunar.client.util.collection	ImmutableListViewImpl	only ImmutableListView implementation; reads delegate to the wrapped List and subList re-wraps via ImmutableListView.method1
com.moonsworth.lunar.client.util.gui	ListExtension	com.moonsworth.lunar.client.util.collection	ListExtension	List extension adding method1(Consumer<ImmutableListView<T>>) (the withImmutableView hook); implemented by CopyOnWriteIfNeededArrayList
