package	old	new	evidence
com.moonsworth.lunar.client.markers.mixin.gui.mixin	Gui2	StyngrBridge	@CallbackJS bridge for the "styngr" driver route: addJam/removeJam/previewJam/stopPreview play a Styngr chest sound (Chest2) and preview it via the sound handler
com.moonsworth.lunar.client.markers.mixin.gui.mixin	Gui3	UiStateBridge	@CallbackJS bridge for "uiState": setWindowState/setSortState/setQuickNavigationState forward to Client.method100() (the UI-state manager)
com.moonsworth.lunar.client.markers.mixin.gui.mixin	Gui4	SkyblockBridge	@CallbackJS bridge for "skyblock" (no callbacks); method15() returns the SkyBlock mod-list screen from Ref.method40().method82()
com.moonsworth.lunar.client.markers.mixin.gui.mixin	Gui5	OutfitBridge	@CallbackJS bridge for "outfits": add/delete/setDefault/setFavorite/rename outfit presets via Ref.method55()
com.moonsworth.lunar.client.markers.mixin.gui.mixin	Gui6	BadgeBridge	@CallbackJS bridge for "badges": equip(index) updates the badge list and sends EquipBadgeRequest
com.moonsworth.lunar.client.markers.mixin.gui.mixin	Gui7	ColorBridge	@CallbackJS bridge for "colors": add/remove chroma colour entries (LightingExtension4222) with hue/brightness/saturation/opacity/hex
com.moonsworth.lunar.client.markers.mixin.gui.mixin	Gui8	LunarPlusBridge	@CallbackJS bridge for "lunarPlus": setColor sends UpdateLunarPlusColorRequest and stores the plus colour
com.moonsworth.lunar.client.markers.mixin.gui.mixin	Gui9	SettingsBridge	@CallbackJS bridge for "settings": setAdvancedMode/update/reset/invokeAction/setEditingKeybind drive the Lighting option tree (extends DriverSettingExtension/Markers5)
com.moonsworth.lunar.client.markers.mixin.gui.mixin	Gui11	PromotionBridge	@CallbackJS bridge for "promotion": playPromotion/refresh/openMedalPromotion/claimReward (ClaimPendingRewardRequest)
com.moonsworth.lunar.client.markers.mixin.gui.mixin	Gui14	HostedWorldBridge	@CallbackJS bridge for "hostedWorlds": inviteFriend/kick/promote/demote/onModalCallback + Gui14.Type enum (JOINING/KICK/PROMOTE/DEMOTE/INVITE/CANCEL)
com.moonsworth.lunar.client.markers.mixin.gui.mixin	Gui15	LanguagePageBridge	@CallbackJS bridge for "language": selectLanguage/setForceUnicode (avoid LanguageBridge, taken by bridge.horsestats.LanguageBridge)
com.moonsworth.lunar.client.markers.mixin.gui.mixin	Gui16	CosmeticPreviewBridge	@CallbackJS bridge for "cosmeticPreview": exitPreview/openStore/openPreviewModal/checkout/joinWorld on Holograms4
com.moonsworth.lunar.client.markers.mixin.gui.mixin	Gui17	SavedSkinBridge	@CallbackJS bridge for "savedSkins": updateSkinType/setFavorite/apply/delete/add/rename/save skin presets (Holograms17, Gui2Handler skins)
com.moonsworth.lunar.client.markers.mixin.gui.mixin	Gui18	AlertBridge	@CallbackJS bridge for "alerts": dismiss(index) clears a notification via Client.method66()
com.moonsworth.lunar.client.markers.mixin.gui.mixin	Gui19	AccountBridge	@CallbackJS bridge for "accounts": addAccount/removeAccount/selectAccount (Lighting3Loader2 account list, Bridge7Iterator)
com.moonsworth.lunar.client.markers.mixin.gui.mixin	Gui21	SocialMediaBridge	@CallbackJS bridge for "socialMedia": openSocialMedia/unlinkSocial (UnlinkSocialRequest, BrowserUtils/ClipboardUtils)
com.moonsworth.lunar.client.markers.mixin.gui.mixin	GuiExtension3	ProfileBridge	@CallbackJS-less driver provider for "profiles": provide() delegates to Client.method61().provide()
com.moonsworth.lunar.client.markers.mixin.gui.mixin	GuiExtension4	ServerDiscoveryBridge	@CallbackJS bridge for "serverDiscovery": discoverServers/searchServers/loadAutocompleteSuggestions/loadServerModal/joinServer/saveServer/trackSectionNotInterested (PromiseJS)
com.moonsworth.lunar.client.markers.mixin.gui.mixin	GuiExtension5	MetadataBridge	driver provider for "metadata": provide() emits lunarInfo (branch/fullGitHash/production/minecraftVersion/version/scale/uiBranch/uiGitHash/modern/legacy)
com.moonsworth.lunar.client.markers.mixin.gui.mixin	GuiExtension6	NotificationBridge	driver provider for "notification": method128() delegates to Client.method69().method128() (the toast/notification manager)
com.moonsworth.lunar.client.markers.mixin.gui.mixin	GuiExtension7	PlayerBridge	driver provider for "player": method128() emits the local player location (x/y/z/world) and dimension/dimensionKey
com.moonsworth.lunar.client.markers.mixin.gui.mixin	GuiExtension8	ServerPingBridge	@CallbackJS bridge for "serverPing": ping(address) resolves the server list entry and emits serverPing:result
com.moonsworth.lunar.client.markers.mixin.gui.mixin	GuiExtension9	HomeButtonBridge	driver provider for "homeButtons": builds the singleplayer/multiplayer/discover/store buttons (Gui2Task) with MarkersType icons
com.moonsworth.lunar.client.markers.mixin.gui.mixin	GuiExtension10	HomeRadioBridge	@CallbackJS bridge for "homeRadio": mute/setVolume/close + EventSecond/EventPlaySound/EventScreenChange handlers for the Lunar music player (FogLoader22 volume)
com.moonsworth.lunar.client.markers.mixin.gui.mixin	GuiExtension11	HomeThemeBridge	@CallbackJS bridge for "homeTheme": selectTheme/selectDefaultTheme/playSound/openWrapped/openAdvent/setBalloonHighscore (Lighting3Extension themes)
com.moonsworth.lunar.client.markers.mixin.gui.mixin	GuiExtension12	HomeNavigationBridge	driver provider for "homeNavigation": builds btnMenu/btnLocker/btnSatellite/btnXboxFriends/btnOptions/btnLanguage/btnRealms/btnRewindEditor/btnReplayViewer/btnFlashback/btnFabricModMenu
com.moonsworth.lunar.client.glintcolorizer	Glintcolorizer2	BedrockLibrary	file-backed Bedrock particle library: presets/factory maps, reload(), load(name), save(name,scheme); loads assets/blockbuster/particles/*.json and stores default_fire/default_magic/default_rain/default_snow
com.moonsworth.lunar.client.glintcolorizer	Glintcolorizer3	MathBuilder	McLib math expression builder: variables/functions maps, breakdown/breakdownChars/parseSymbols/tryTernary/createFunction/valueFromObject tokenizer + recursive-descent parser
com.moonsworth.lunar.client.glintcolorizer	Glintcolorizer4	CooldownTimer	McLib cooldown timer: enabled/time/duration with mark/getRemaining/reset/check/checkReset/checkRepeat; used as an emit cooldown (Timer is taken)
