package	old	new	evidence
com.moonsworth.lunar.client.fps	Fps2	MolangClassDefiner	JIT class definer: static method1(name,byte[],Class[]) defines a class from raw bytes via the nested Data extends ClassLoader (defineClass) and returns its reflective Constructor; called by Fps6 JitBuilder as ("MolangJit", bytes, ctorTypes)
com.moonsworth.lunar.client.fps	Fps3	VariablesMap	local-slot allocator for the generated run() method: Object2IntMap<Assignable> + nextVarId (starts at 2, +2 for booleans); API getOrCreate(assignable, wide)/has/nextSlot; toString literal is "VariablesMap{assignableMap=..., nextVarId=...}"
com.moonsworth.lunar.client.fps	Fps4	MolangJitSignature	JIT cache key: ordered List<Extension> of signature tokens with value equals/hashCode; Fps6 JitBuilder keeps Cache<Fps4,Constructor<?>> and builds the class named "MolangJit" from the accumulated token sequence (each Expr/Stmt node appends its token)
com.moonsworth.lunar.client.fps	Fps5	MolangBuiltinFunctions	static builtin-function registry: Map<String,Fps7Extension> with "math.min","math.max","math.cos","math.sin","math.lerp","math.random_integer","math.dice_roll" ... ; method1(scope) registers all 31 entries into a scope
com.moonsworth.lunar.client.fps	Fps7	MolangSymbol	empty marker supertype for everything a scope stores under a name: function implementations (Fps7Extension.call(double...)) and mutable variable cells (Fps7Handler.value); MolangScope's map is Map<String,Fps7>
com.moonsworth.lunar.client.fps	Fps8	MolangClassBuilder	bytecode/class builder data for one generated class: List<Consumer<MethodVisitor>> instructions, List<Type> field types, List<Object> constant objects, internField(Object) returns field names "_N"; lombok @Getter accessors; consumed by Fps6 JitBuilder to emit fields/ctor/run
com.moonsworth.lunar.client.fps	Fps10	MolangCompileOptions	compiler options builder (fluent setters): 4 boolean flags (createMissingVariables / adaptArgumentCount / returnZeroOnError / reportErrors) + List<String> diagnostics; used by the Expr compiler for missing-variable creation, argument-count trimming and error collection
com.moonsworth.lunar.client.fps	Fps11	MolangScope	expression scope: Map<String,MolangSymbol> with define/get/getFunction/getVariable/getOrCreateVariable, register-with-Fps5, and a nested Data child scope that falls back to its parent scope on lookup
com.moonsworth.lunar.client.fps	MolangJitSignature$Data2	MolangSigAccessRead	signature token for Expr.Access read; int payload 1 = DLOAD of a VariablesMap local slot (known Assignable), 2 = GETFIELD of a scope variable cell; appended by the Expr compiler
com.moonsworth.lunar.client.fps	MolangJitSignature$Data3	MolangSigLoop	signature token appended at the start of Stmt.Loop compilation (loop-count + body labels); Fps6 statement compiler
com.moonsworth.lunar.client.fps	MolangJitSignature$Data4	MolangSigAccessWrite	signature token for Expr.Assignment store; int payload 0 = PUTFIELD of a scope variable cell, 1 = DSTORE of a VariablesMap local slot; appended by the Expr compiler
com.moonsworth.lunar.client.fps	MolangJitSignature$Data5	MolangSigElseIf	signature token appended for each Stmt.If elif branch (conditional jump chain); Fps6 statement compiler
com.moonsworth.lunar.client.fps	MolangJitSignature$Data6	MolangSigBinaryOperator	signature token carrying the com.eliotlash.molang.ast.Operator of an Expr.BinOp (ADD/SUB/MUL/DIV/MOD/POW/LT/LEQ/GEQ/GT/EQ/NEQ/AND/OR); Expr compiler
com.moonsworth.lunar.client.fps	MolangJitSignature$Data7	MolangSigNot	signature token appended for Expr.Not (boolean negate with jump); Expr compiler
com.moonsworth.lunar.client.fps	MolangJitSignature$Data8	MolangSigReturn	signature token appended at the start of Stmt.Return compilation; Fps6 statement compiler
com.moonsworth.lunar.client.fps	MolangJitSignature$Data9	MolangSigTernary	signature token appended for Expr.Ternary (condition/ifTrue/ifFalse); Expr compiler
com.moonsworth.lunar.client.fps	MolangJitSignature$Data10	MolangSigGroup	signature token appended for Expr.Group (parenthesised expression); Expr compiler
com.moonsworth.lunar.client.fps	MolangJitSignature$Data11	MolangSigBlockEnd	signature token appended after an Expr.Block's final expression is compiled (block result boundary); Expr compiler
com.moonsworth.lunar.client.fps	MolangJitSignature$Data12	MolangSigIf	signature token appended at the start of Stmt.If compilation; Fps6 statement compiler
com.moonsworth.lunar.client.fps	MolangJitSignature$Data13	MolangSigFunctionCall	signature token holding Class<? extends Fps7Extension> for an Expr.Call; identifies the invoked builtin function in the JIT signature; Expr compiler
com.moonsworth.lunar.client.fps	MolangJitSignature$Data14	MolangSigConstant	signature token holding the double value of an Expr.Constant (also emitted as LDC with 0/1 int-double push optimisation); Expr compiler
com.moonsworth.lunar.client.fps	MolangJitSignature$Data15	MolangSigBlockStart	signature token appended at the start of an Expr.Block (statement sequence); Expr compiler
com.moonsworth.lunar.client.fps	MolangJitSignature$Data16	MolangSigNegate	signature token appended for Expr.Negate (DNEG); Expr compiler
com.moonsworth.lunar.client.fps	MolangJitSignature$Data17	MolangSigExpressionStatement	signature token appended at the start of Stmt.Expression compilation (expression used as a statement); Fps6 statement compiler
com.moonsworth.lunar.client.fps	MolangJitSignature$Data18	MolangSigVariableRead	signature token appended for a bare Expr.Variable that resolves to a scope variable cell (GETFIELD cell.value); Expr compiler
