package	old	new	evidence
com.moonsworth.lunar.legacy.mixin	ChunkMixin2	ChunkLightingMixin	@Mixin(Chunk.class); cancels skylight/relight work (checkSkylightNeighborHeight, updateSkylightNeighborHeight, enqueueRelightChecks, relightBlock, setBlockState generateSkylightMap) and forces terrain/light-populated while the lighting mod is on (FogLoader3.method56()=ModLighting, method13()=enabled); also fires chunk load/unload/block-change/entity-enter events. Base ChunkMixin is only the bridge (bridge$getBlockState/getSkyLight)
com.moonsworth.lunar.legacy.mixin	EntityRendererMixin3	EntityRendererFasterLoadingMixin	@Mixin(EntityRenderer.class) @VersionGate(min=1); @ModifyConstant loadAllVisibleChunks$v1_8 intValue=100 -> 1 in lunar$flawless$fasterLoading (faster/Lunar "flawless" visible-chunk loading). Name matches APPLIED.md legacy.mixin#part1
com.moonsworth.lunar.legacy.mixin	RenderItemMixin3	RenderItemBridgeMixin	@Mixin(RenderItem.class); implements Bridge5_19 (RenderItem bridge) with bridge$getModelLocation / bridge$getModel (MC>=5 getItemModelWithOverrides vs MC==1 itemModelMesher.getItemModel); no injections - pure bridge
com.moonsworth.lunar.legacy.mixin	RenderPlayerMixin2	RenderPlayerEventMixin	@Mixin(RenderPlayer.class); fires render-player events (HighlightImpl9 cancel at doRender HEAD, HighlightImpl13 in renderModel override), stores partial ticks, rewinds isUser (WrapOperation), and also renders 3D-skin arms/sleeves (Skins3d + Pkg3). Superset of RenderPlayerMixin3
com.moonsworth.lunar.legacy.mixin	RenderPlayerMixin3	RenderPlayer3dSkinsMixin	@Mixin(RenderPlayer.class); only 3D-skins arm/sleeve rendering: after setModelVisibilities hides bipedRight/LeftArmwear when Skins3d enabled and draws the arm layer through Pkg3 in renderRightArm/renderLeftArm
com.moonsworth.lunar.legacy.mixin	RendererLivingEntityMixin2	RendererLivingEntityGlowMixin	@Mixin(RendererLivingEntity.class); entity glow/outline: GlowModule colour lookup (Highlight3Iterator20), team-colour fallback, outline pass (lunar$doOutlinePass / renderOutlines / enableOutlineMode), plus hit-colour + ReachDisplay wrap, entity scale, armor-stand skip and rewind nametag. Glow/outline is the dominant feature
com.moonsworth.lunar.legacy.mixin	RendererLivingEntityMixin3	RendererLivingEntityHitColorMixin	@Mixin(RendererLivingEntity.class); redirects shadersmod/client.Shaders and net.optifine.shaders.Shaders setEntityColor to HitColor mod values (ModHitColor) in doRender (v1_7) and setBrightness (v1_8)
com.moonsworth.lunar.legacy.mixin	ResourcePackRepositoryMixin2	ResourcePackRepositoryServerPackMixin	@Mixin(ResourcePackRepository.class); fires events when a server resource pack is applied (setResourcePackInstance$v1_8) or removed (clearResourcePack$v1_8 / func_148529_f$v1_7). Base ResourcePackRepositoryMixin handles the pack list/init
com.moonsworth.lunar.legacy.mixin	ScoreboardMixin2	ScoreboardNameTagMixin	@Mixin(Scoreboard.class); prevents duplicate team creation and invalidates name tags when a player joins/leaves a team (lunar$invalidateNameTagsByName -> ThreadModuleDump88.lunar$onNameTagUpdate). ModNametag
com.moonsworth.lunar.legacy.mixin	ScoreboardMixin3	ScoreboardAccessorMixin	@Mixin(Scoreboard.class) interface; @Mutable @Accessor for objectiveDisplaySlots, field_96544_c$v1_7 and entitiesScoreObjectives$v1_8
com.moonsworth.lunar.legacy.mixin	ServerListEntryNormalMixin2	ServerListEntryNormalPingMixin	@Mixin(ServerListEntryNormal.class); draws a per-entry overlay via Client.method78().method2(serverData, font, x, y) and replaces EXECUTOR.submit with a 3s-timeout wrapper (TIMEOUT_EXECUTOR) so a dead server ping cannot hang the list
com.moonsworth.lunar.legacy.mixin	ServerListEntryNormalMixin3	ServerListEntryNormalAccessorMixin	@Mixin(ServerListEntryNormal.class) interface; @Mutable @Accessor("EXECUTOR") setter
com.moonsworth.lunar.legacy.mixin	ServerPingerMixin2	ServerPingerLunarServerMixin	@Mixin(targets="net.minecraft.client.network.ServerPinger$1") @MixinCondition(absent="forge"); injects handleServerInfo to copy the Lunar-server flag from ServerStatusResponse to ServerData (setLunarServer). Base ServerPingerMixin handles the ping callback
com.moonsworth.lunar.legacy.mixin	ShaderGroupMixin2	ShaderGroupRewindMixin	@Mixin(ShaderGroup.class); @WrapOperation on the mainFramebuffer field in createBindFramebuffers/resetProjectionMatrix substitutes Minecraft.getFramebuffer() while rewind is active
com.moonsworth.lunar.legacy.mixin	ShaderMixin2	ShaderCustomResourceMixin	@Mixin(Shader.class); @ModifyVariable on <init> swaps the IResourceManager for the legacy custom provider when the shader path starts with "lunar-shaders/" (FogIterator2.method13)
com.moonsworth.lunar.legacy.mixin	SkinManagerMixin2	SkinManagerSkinLoadingMixin	@Mixin(SkinManager.class); ModifyVariable loadProfileTextures allows skins in unsecure hosted worlds, and WrapOperation runs the skin-load task synchronously during rewind (Rewind.method19). Base SkinManagerMixin is the bridge
com.moonsworth.lunar.legacy.mixin	StatFileWriter2	ResourceLocationAdventureMixin	@Mixin(ResourceLocation.class) @Implements(@Interface(iface=Key.class, prefix="adventure$")); makes ResourceLocation implement Adventure's Key (namespace/value/asString). File is misnamed StatFileWriter2
com.moonsworth.lunar.legacy.mixin	StatFileWriter3	NetworkPlayerInfoSkinMixin	@Mixin(targets="net/minecraft/client/network/NetworkPlayerInfo$1"); injects skinAvailable TAIL to fire the skin-loaded event (HighlightIterator) on the client thread. File is misnamed StatFileWriter3
com.moonsworth.lunar.legacy.mixin	TextureMapMixin3	TextureMapTransparencyMixin	@Mixin(TextureMap.class); after each atlas image is read, removeTransparency() strips alpha when the source has none but the stitched image does; no-ops OptiFine TextureUtils.scaleImage; fires the atlas-load event. Base TextureMapMixin is the bridge
com.moonsworth.lunar.legacy.mixin	ThreadDownloadImageDataMixin2	ThreadDownloadImageDataImageFoundMixin	@Mixin(ThreadDownloadImageData.class); implements Bridge20Extension, shadows imageFound and overrides bridge$setImageFound. Base ThreadDownloadImageDataMixin is the big HTTP/overwrite bridge
com.moonsworth.lunar.legacy.mixin	TileEntitySkullRendererMixin2	TileEntitySkullRendererSkinsMixin	@Mixin(TileEntitySkullRenderer.class); 3D-skins (Skins3d / Pkg6) hooks around renderSkull/renderTileEntityAt that prepare and render player-head skulls (Pkg6.method1/method4/method6). Base TileEntitySkullRendererMixin only toggles blending for skull skins
com.moonsworth.lunar.legacy.mixin	TimerMixin2	TimerRewindMixin	@Mixin(Timer.class); while rewind is active replaces System.nanoTime with the rewind clock (Rewindhandlers.getTime), disables sync adjustment and recomputes partial ticks (Rewind.method19). Base TimerMixin is the bridge
com.moonsworth.lunar.legacy.mixin	WorldMixin3	WorldEventMixin	@Mixin(World.class); fires world events (collision boxes, entity join/remove, particle spawn, horizon, chunk light) and skips light updates while ModLighting is on; faster chunk calculation and WeatherChanger rain strength. Events dominate. Sibling WorldMixin4 is the accessor
