package	old	new	evidence
com.moonsworth.lunar.client.markers.nameplate.mixin	Nameplate2	ComponentFocusCallback	@FunctionalInterface callback for LComponent window-focus changes: bound to DriverComponent.field10 and invoked by method15(boolean), dispatched from Highlight3Iterator.method8(boolean); the LComponentBuilder toString lists this slot as "onWindowFocus"
com.moonsworth.lunar.client.markers.nameplate.mixin	Nameplate3	ComponentDropCallback	@FunctionalInterface callback for LComponent file drops: bound to DriverComponent.field16 and invoked by method21(List<Path>), dispatched from Highlight3Iterator.method14(List<Path>); LComponentBuilder toString slot "onDrop"
com.moonsworth.lunar.client.markers.nameplate.mixin	Nameplate4	ComponentKeyCallback	@FunctionalInterface callback for LComponent key presses: bound to DriverComponent.field11 and invoked by method16(BridgeType_8,int,int,int,int), dispatched from Highlight3Iterator.method9; LComponentBuilder toString slot "onKey"
com.moonsworth.lunar.client.markers.nameplate.mixin	Nameplate5	ComponentCursorCallback	@FunctionalInterface callback for LComponent cursor-position updates: bound to DriverComponent.field13 and invoked by method18(Markers.Data5), dispatched from Highlight3Iterator.method11; LComponentBuilder toString slot "onCursorPos"
com.moonsworth.lunar.client.markers.nameplate.mixin	Nameplate6	ComponentScrollCallback	@FunctionalInterface callback for LComponent scroll events: bound to DriverComponent.field15 and invoked by method20(double,double), dispatched from Highlight3Iterator.method13; LComponentBuilder toString slot "onScroll"
com.moonsworth.lunar.client.markers.nameplate.mixin	Nameplate7	ComponentResizeCallback	@FunctionalInterface callback for LComponent size changes: bound to DriverComponent.field8 (framebuffer) and field9 (window) and invoked by method13/method14(int,int), dispatched from Highlight3Iterator.method6/method7; LComponentBuilder toString slots "onFramebufferSize"/"onWindowSize"
com.moonsworth.lunar.client.markers.nameplate.mixin	Nameplate8	ComponentMouseButtonCallback	@FunctionalInterface callback for LComponent mouse-button events: bound to DriverComponent.field14 and invoked by method19(int,int,int,Markers.Data5), dispatched from Highlight3Iterator.method12; LComponentBuilder toString slot "onMouseButton"
com.moonsworth.lunar.client.util.alert	Alert2	CloakTextureSlicer	static cloak/cape texture helper: method2(Identifier) tests membership in the cosmetic cloak set (Holograms12.method70()), method1/method3-method7 rescale a 2:1 BufferedImage to the required slice size; called from SimpleTextureMixin.lunar$sliceCloakTexture_v1_7/v1_8
com.moonsworth.lunar.client.util.alert	Alert3	CosmeticTextureLoader	static cosmetic texture loader: method1(ModuleType3,Gui2Handler,boolean) resolves the texture Identifier for a module (dynamic vs static), method2(Identifier,boolean) loads it through the texture manager and reports success
com.moonsworth.lunar.client.util.alert	Alert5	AnimatedTexture	texture interface exposing a sprite animation: method7() returns the nullable SpriteAnimationBridge and method12() restarts it; cast from Bridge3_4 textures in HologramsIterator (cosmetic/wings render) to reset the animation
com.moonsworth.lunar.client.util.alert	Alert6	ShaderDefinition	immutable shader definition (texture, two Colorsaturation2, uniform lists ColorsaturationType2/Colorsaturation5, flags, names): method1() = per-player flag, method2() maps to a Colorsaturation4 pipeline, method3(Colorsaturation4,BiConsumer) declares LunarModelViewMat/LunarNormalMat/LunarProjectionMat/LunarLegacyUISize; consumed by ShaderPreprocessor, ShaderStateHelper and FovIterator
com.moonsworth.lunar.client.util.alert	Data5	TileVariants	GuiRewindhandlersHandler2$Data5: private per-material tile-name sets (field1 LinkedHashSet<String> optifine/mcpatcher tile names, field2 Set<String> matched block/tile keys) built by method3/method4 from the connected-texture tile and block properties	com/moonsworth/lunar/client/util/alert/GuiRewindhandlersHandler2.java
com.moonsworth.lunar.client.util.alert	Data6	ConnectedTexture	GuiRewindhandlersHandler2$Data6: public connected-texture lookup mapping a tile name to (SlayerType, ctmIndex): method1(name)=type, method2(name)=contains, method3(name)=index, method4()=keys; holds nested Data(SlayerType,int)	com/moonsworth/lunar/client/util/alert/GuiRewindhandlersHandler2.java
com.moonsworth.lunar.client.util.alert	GuiRewindhandlersHandler2	ConnectedTexturesListener	DynamicListener (extends guiRewindhandlers.GuiRewindhandlersHandler2) that rebuilds OptiFine connected-texture data: parses getConnectedTextures().getTileProperties()/getBlockProperties(), normalises texture paths ("ctm/", "optifine"/"mcpatcher", ".png", block/blocks prefixes) and exposes Data6 lookups by tile or name
com.moonsworth.lunar.legacy	GuiListExtendedImpl2	HostedWorldListEntry	IGuiListEntry for the multiplayer server list representing a websocket HostedWorld: method1() = joinable (JOINABILITY_ALLOWED + session), mousePressed double-click connects, drawEntry delegates to Coordinates; produced/consumed by GuiMultiplayerBlocklistMixin.connectToSelected
com.moonsworth.lunar.legacy	MixinCore2	MatrixStackHolder	holder for a shared MatrixStackBridge instance (public static field1) used by legacy matrix mixins
com.moonsworth.lunar.legacy	MixinCore4	ModelRendererAttachable	interface implemented by ModelRendererAttachMixin adding lunar$attach(ModelRenderer); ModelPlayerLayerMixin attaches the *_wear layers to the matching body parts so they render together (optifine-absent gate)
com.moonsworth.lunar.legacy	MixinHelper2	FirstPersonItemRenderer	static helper invoked from item-render mixins: method1(ItemStack,Horsestats6.Type,CallbackInfo) resolves a cosmetic via Fov11.method3, positions the arm/hand (translate 0.58/-0.53/-0.77) and renders the held item through Fov5, cancelling the vanilla call
com.moonsworth.lunar.legacy	MixinHelper3	FirstPersonHandTransform	static utility applying the first-person hand GL transform: method1(boolean leftHand) scales/rotates/translates the hand model (legacy GL11 path for MC<=1, GlStateManager otherwise); called by FirstPersonItemRenderer
com.moonsworth.lunar.legacy	MixinHelper4	BufferedImageTexture	Click.Extension implementation backed by a BufferedImage (name, path, width, height, getRGB/setRGB); method6(BufferedImage,String,String) registers it with the dynamic texture manager under a generated name
com.moonsworth.lunar.legacy	MixinHelper_2	ToolMaterialHolder	interface implemented by ItemToolMixin exposing lunar$getMaterial(): Bridge4_5 (the tool material bridge) for cross-version tool access
com.moonsworth.lunar.client.framework.feature.mod.fishing.mixin	Fishing2	ChocolateEggLocations	Hoppity's Hunt egg-location model: HashMap<island, HashMap<eggName, Data>> where Data is (Vector3i position, String message) rendered as " Egg <message>!"; loaded by JsonDeserializerIterator and consumed by SkyblockHoppityEggHud/SkyblockEggLocator/SkyblockEggWaypoints
com.moonsworth.lunar.client.framework.feature.mod.fishing.mixin	Fishing3	RabbitCollectionStore	persistence for the Hoppity rabbit collection: loads/saves skyblock_rabbit_collection.json keyed by profile UUID, delegates to SkyblockChocolateFactory.method55()/method66(RabbitCollection), also plays collection sounds with a cooldown
com.moonsworth.lunar.client.framework.feature.mod.fishing.mixin	Fishing4	RabbitCollection	rabbit collection model: HashMap<rabbitName, Fishing6> plus dirty flag and cached TextComponents; method3 builds the per-rarity "Rabbit Collection" summary lines, method2 caches them; owned by SkyblockChocolateFactory and rendered by SkyblockRabbitCollectionOverlay
com.moonsworth.lunar.client.framework.feature.mod.fishing.mixin	Fishing5	RabbitLevel	parsed Hoppity rabbit level: (int level, boolean roman) with colour tiering; method3(ItemStack) parses "Rabbit <name> - [<level>]" or a trailing Roman numeral; cached and rendered by SkyblockRabbitLevels
com.moonsworth.lunar.client.framework.feature.mod.fishing.mixin	Fishing7	ChocolateRabbit	Chocolate Factory shop rabbit entry: (GuiSlot, ItemStack, long cost, double chocolatePerSecond); method1() = cost/rate ratio, used by SkyblockChocolateFactory to sort and by SkyblockAffordableRabbit/SkyblockBestRabbit/SkyblockChocolateStats/SkyblockExtraPurchaseStats
com.moonsworth.lunar.client.framework.feature.mod.fishing.mixin	FishingType2	MetalDetectorTreasureType	enum of Crystal Hollows metal-detector treasure tiers GOLD/DIAMOND/EMERALD/LAPIS with JSON id and scanner skin path; deserialized by MetalDetectorLocationsDeserializer into Fishing (Map<type,Set<Vector3ic>>) and matched against entity skin locations in SkyblockMetalDetector
com.moonsworth.lunar.client.framework.feature.mod.impl.chest.dungeon.dungeonwaypoints.mixin	Dungeonwaypoints2	DungeonFloorWaypoints	per-floor waypoint container (int floor + List<Dungeonwaypoints>): method1() serializes {dataVersion,floor,waypoints}, method2(JsonObject) parses it; persisted as floor-<n>.json by DungeonWaypointManager
com.moonsworth.lunar.client.framework.feature.mod.impl.chest.dungeon.dungeonwaypoints.mixin	Dungeonwaypoints3	DungeonRoomWaypoints	per-room waypoint container (roomId, communityName, List<Dungeonwaypoints>): method1()/method2 serialize {dataVersion,roomId,communityName,waypoints}; persisted as <roomId>.json by DungeonWaypointManager
com.moonsworth.lunar.client.framework.feature.mod.impl.chest.dungeon.dungeonwaypoints.mixin	Dungeonwaypoints4	WaypointStyle	waypoint render style: renderMode (Gui2Extension2), when (Gui2Extension3), fill/wireframe colours, showThroughWalls, offset and size; method5(JsonObject)/method6(JsonObject) (de)serialize it, method1(int,boolean) builds the default
com.moonsworth.lunar.client.framework.feature.mod.impl.chest.dungeon.dungeonwaypoints.mixin	Dungeonwaypoints5	WaypointPreset	named waypoint preset (name, WaypointStyle, Gui2Extension boxMode FULL/HITBOX); method1/method2 copy with a new style/boxMode; stored under "presets" and selected by DungeonWaypointManager
com.moonsworth.lunar.client.framework.feature.mod.impl.chest.dungeon.dungeonwaypoints.mixin	Gui2Extension2	WaypointRenderMode	enum WIREFRAME("wireframe")/FILL("fill")/BOTH("wireframeAndFill") selecting how a dungeon waypoint is drawn; serialized as "renderMode"
com.moonsworth.lunar.client.framework.feature.mod.impl.chest.dungeon.dungeonwaypoints.mixin	Gui2Extension3	WaypointVisibility	enum CLEAR("clear")/SECRETS("secrets")/BOTH("both") selecting when a dungeon waypoint is drawn; rendersAt(HologramsType2) filters cleared vs uncleared rooms; serialized as "when"
com.moonsworth.lunar.client.framework.feature.pkg	Pkg2	SkinDataCache	generic skin-texture data cache: ConcurrentHashMap<Identifier,CompletableFuture<T>> + resolved map, polled per frame; converts a player skin texture (via requestContent/native image) into T (a 3D layer model); the "pollFuture SkinDataCache" log string is its own name
com.moonsworth.lunar.client.framework.feature.pkg	Pkg3	SkinLayerRenderer	static 3D skin-layer renderer for player arms/body: method1 picks the sleeve model and offsets it, method2/method3/method4 are the version-gated (min 33 / min 6 / max 5) entry points called from RenderPlayer3dSkinsMixin and RenderPlayerEventMixin for renderRightArm/renderLeftArm
com.moonsworth.lunar.client.framework.feature.pkg	Pkg4	SkinLayerCache	per-player 3D skin cache: SkinDataCache<model> + SkinDataCache<model[]> plus WeakHashMaps of GameProfile keyed by hitcolor/entity; method1/method2 invalidate on model render/player remove, method3-method7 resolve or build a player's layer model; held by Skins3d
com.moonsworth.lunar.client.framework.feature.pkg	Pkg5	SkinLayerFactory	factory turning a skin texture into 3D layer models: method2(texture,boolean) builds the [pantsL,pantsR,sleeveL,sleeveR,jacket] array (slim/wide), method3(texture) builds the head model; delegates to SolidPixelWrapper
com.moonsworth.lunar.client.framework.feature.pkg	Pkg6	SkullSkinLayerRenderer	static 3D skin-layer renderer for heads/skulls: method1/method2/method3 register and distance-cull head items/blocks, method4 swaps the vanilla hat for the generated 3D head model, method5/method6 render it for 1.8+ / legacy; called from LayerCustomHeadMixin and TileEntitySkullRendererSkinsMixin
com.moonsworth.lunar.client.framework.feature.pkg	Pkg_2	LegacySkinLayerRenderer	legacy (VersionGate max 5) 3D skin-layer dispatcher: method1(entity, model, scale) forwards to the static HeadLayer/BodyLayer renderers; called from ModelBipedImpl
com.moonsworth.lunar.client.framework.feature.pkg.mixin	Pkg2	CustomizableCube	3D skin-layer cube: builds one Polygon per visible Direction from 8 Vertex corners, honouring hidden faces and corner removal; method5/method6 emit vertices/normals to the buffer builders (the original class name is CustomizableCube from the 3D Skin Layers mod)
com.moonsworth.lunar.client.framework.feature.pkg.mixin	Pkg4	SolidPixelWrapper	converts a skin texture's opaque pixels into a list of CustomizableCube voxels (SolidPixelWrapper.Position/Dimensions/UV/VoxelPosition nested classes are its own toString names); method1(texture,w,h,...) is the static wrap entry point
com.moonsworth.lunar.client.framework.feature.pkg.mixin	Data2	Polygon	Pkg2$Data2: one cube face holding 4 Vertex corners and a normal Vector3f; built per Direction in the Pkg2 constructor	com/moonsworth/lunar/client/framework/feature/pkg/mixin/Pkg2.java
