package	old	new	evidence
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl2	EventTick	client tick event: static int field1 is the global tick counter (Debug EVERY_TICK/EVERY_OTHER_TICK/EVERY_HALF_SECOND, field1%20); fired every tick from Rewindhandlers.method12(HighlightImpl2::new) and EntityRenderer4.bootstrap; handled by ~125 HUD/modules
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl3	EventRewindTick	empty rewind playback tick: fired once per iteration of the RewindHandlers.method17 playback loop; RewindHandlers.method9 drains the queued nameplate actions, Waila.method3 clears the target overlay
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl4	EventSecond	once-per-second event: GuiRewindhandlers3 fires it only when System.currentTimeMillis()-field4>=1000L, Fishing2Loader/Nameplate2Impl17 schedule it; Debug EVERY_SECOND/EVERY_15_SECONDS/EVERY_30_SECONDS; ~50 handlers refresh caches
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl5	EventBlockBreakProgress	block break animation: fired by RenderGlobalEntityOutlineMixin on destroyBlockPartially$v1_7 (entityId,pos,progress) and sendBlockBreakProgress$v1_8; getters method1()=entityId, method2()=pos, getProgress(); RouteTracker/nameplate render the break overlay
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl6	EventRewindUpdate	rewind playback update: handled by RewindHandlers.method6 (advances the rewind loop, method17) and counted by OptimizationDebugMod/ProfilerDebugMod
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl7	EventEntityPosition	@VersionGate(min=8) event carrying a single Horsestats20Extension position (method1()); no firer/consumer left in this partial tree, named from payload
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl8	EventBlockPlace	block placement event: getBlock()=Bridge3_23, method1()=IBlockState, method2()=Vec3iBridge pos; nameplate GuiRewindhandlersHandler2.method1 checks crop blocks for HighlightType3, RouteTracker.method5 consumes the pos
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl9	EventBlockChange	block change in a chunk: fired by ChunkLightingMixin on setBlockIDWithMetadata$v1_7 / setBlockState$v1_8 with (pos,newState,oldState); consumed by DungeonSecretListener, SkyblockCollectedSecret, Minimap, RewindHandlers3Updater
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl10	EventWorldTime	world-time event with two longs (getWorldTime()=field1, method1()=field2); WorldTimeListener stores abs(method1()), TimeChanger.method7 cancels it to keep its own time
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl11	EventRewindFrame	per-frame rewind event carrying a float elapsed value ((now-field37)/50.0F) fired from RewindHandlers.method10/method19; RewindHandlers3Updater.method3 and Minimap consume it
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl12	EventEntityRemove	entity-removal event recorded by the rewind nameplate pipeline (RewindHandlers5.method18 -> RewindhandlersNameplateCoreImpl6.method18 writes Nameplate2Impl6); counterpart of the highlight.fishing removeEntity event
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl13	EventPlaySound	sound-play event: getPath()=sound id, getCategory(), getVolume(), getPitch(), method1()=Vector3d position; handlers match "block.note_block.pling", "entity.guardian.death", "entity.bat.death" (SkyblockFishingHotspotLocator, DungeonSecretListener, SkyblockMuteBeeheemothSounds)
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl14	EventRenderWorld	RenderGlobal render event: holds Bridge14_3 (=RenderGlobal/level renderer) + float; no firer/consumer left in this partial tree, named from payload
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl15	EventSpawnParticle	particle spawn event: fired by WorldEventMixin on spawnParticle$v1_7 / spawnParticle$v1_8 with particle type, pos, velocity and colour; cancellable (SkyblockFishingCircleOverlay, SkyblockMageBeam, SkyblockHealingCircleOverlay, ...)
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl16	EventExplosion	explosion event: fired by ExplosionMixin on Explosion.doExplosionB with (world,x,y,z,size); Shields consumes it
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl17	EventRenderBlockOutline	block-outline render event: fired by RenderGlobalEntityOutlineMixin.lunar$drawSelectionBoundingBox (Data4) and handled by BlockOutline.method2 which cancels it and draws its own outline; getter method1()=GlStateManager
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl18	EventGetHorizon	world horizon event: fired by WorldEventMixin.lunar$getHorizon with a mutable double value (getValue/setValue); TimeChanger.method8 overrides it
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl19	EventWorldEffect	rewind nameplate effect event: getType()/method2()/getData() serialized via Bridge.method59().method12().method1(...) in RewindhandlersNameplateCoreImpl8.method11
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl20	EventEntityItem	event holding an ItemStack (BridgeExtension_4 field1) and an entity (Bridge6_10 field2); no firer/consumer left in this partial tree, named from payload
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl21	EventBlockUpdate	block update event: method1()=Vec3iBridge pos, getBlock()=Bridge3_23 block; consumed via HighlightImpl21.Data by SkyblockCollectedSecret (chest), SkyblockDragonFeatures (relic placed), SkyblockFishingHotspotLocator, RouteTracker
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl22	EventGameDirectory	game-directory event: method1()=String, method2()=File; Minimap3.method2 builds new File(method2(),"minimap"), Minimap2 stores method2().toPath(), Rewind/Minimap consume it
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightImpl23	EventMousePosition	empty rewind event fired by RewindHandlers5.method13 while recording; RewindhandlersNameplateCoreImpl3.method3 writes the recorded cursor position (Nameplate2Impl7(x,y))
com.moonsworth.lunar.client.highlight.mixin.fishing	HighlightBase2	EventChunk	abstract chunk event base: holds Itemcounter2 (=Chunk) exposed as method1(); base of Data8/Data9
com.moonsworth.lunar.client.highlight.mixin.fishing	Data10	EventPlayerBlockInteract	nested HighlightBase$Data10: (Vec3iBridge pos, HitcolorExtension player) event; no users left in this partial tree, named from payload	com/moonsworth/lunar/client/highlight/mixin/fishing/HighlightBase.java
com.moonsworth.lunar.client.highlight.mixin.fishing	Data11	EventPlayerBlockInteractExtended	nested HighlightBase$Data11: adds a nullable HitcolorExtension player (field3/method3) to the Data10 payload; no users left in this partial tree	com/moonsworth/lunar/client/highlight/mixin/fishing/HighlightBase.java
