package	old	new	evidence
com.moonsworth.lunar.ichor.util	Annotation2	KeepName	CLASS-retention no-member marker (ANNOTATION_TYPE/FIELD/TYPE/METHOD): applied to Ichor's own annotation types (VersionGate/Smuggle/Implements/Interface/MixinCondition) and to name-sensitive members/classes (Ref.MC_VERSION, Ref.hasModule, IchorAPI2.loadClass, FatalIchorError6.isRecordLazy, Gson-serialized RoomSecret/Storageoverlay fields); marks names that must survive remapping
com.moonsworth.lunar.ichor.util	Annotation3	IchorProcessed	records stage name + timestamp (String method1(), long method2()); added as a visible annotation to a ClassNode when ichor.markClasses=true (AutoCloseableIterator2.method6 calls FatalIchorError6.method47(Annotation3.class, {stage,time}))
com.moonsworth.lunar.ichor.util	Annotation4	IchorService	CLASS-retention TYPE marker (ANNOTATION_TYPE/TYPE/RECORD_COMPONENT, no members) on the global service/entry classes IchorAPI, OpenALNative and FlawlessFrames
com.moonsworth.lunar.ichor.util	FatalIchorError10	ClassWriterSymbolTable	reflectively wraps org.objectweb.asm.ClassWriter's private symbolTable.entries into a list of Data entries (index/tag/owner/name/value/data); nested Data is the per-entry wrapper
com.moonsworth.lunar.ichor.util	FatalIchorError11	ErrorReporter	thread-safe Throwable collector: method1(Consumer) subscribes, method2(Throwable) dedupes by class+message and replays to subscribers; Ichor7.method38 returns it and IMixinErrorImpl reports mixin prepare/apply errors through it
com.moonsworth.lunar.ichor.util	FatalIchorError12	DebugStack	ThreadLocal<String,Deque<String>> context stack: method4 push / method5 remove and method2 renders an ASCII-boxed dump (70-char rule); unused in this partial tree
com.moonsworth.lunar.ichor.util	FatalIchorError13	StageMemberTracker	tracks the fields/methods each Ichor stage adds: method1 records new members per stage, method2/method3 find the stage that introduced a field/method name; nested Data = (stage, fields[], methods[])
com.moonsworth.lunar.ichor.util	FatalIchorError14	ClassBytes	immutable (className, byte[]) result returned by the jar-rewrite BiFunction and consumed by FatalIchorError9.method1/method3
com.moonsworth.lunar.ichor.util	FatalIchorError2	TriFunction	@FunctionalInterface R apply(A,B,C) used as the hook-factory type by AutoCloseableIterator.method1 (annotation -> MixinHelper)
com.moonsworth.lunar.ichor.util	FatalIchorError3	ResourceProvider	interface InputStream method1(String); implemented by Ichor's URLClassLoader (alongside IchorAPI2/InheritanceProvider/ClassProvider) and used by Ichor7 to resolve classpath resources
com.moonsworth.lunar.ichor.util	FatalIchorError4	AnnotationUtils	ASM annotation helper: getDesc/getSimpleName, set/get Visible/Invisible on Class/Method/Field nodes, getValue/setValue and enum packing (Sponge Annotations analogue)
com.moonsworth.lunar.ichor.util	FatalIchorError5	IchorLogger	Ichor's logger: info/warn/fatal + throwing(), PrintStream output, optional log file (method3/method7), Type enum FATAL/ERROR/WARN/INFO/DEBUG/TRACE; field1 is the global "Ichor" logger used across the pipeline
