package	old	new	evidence	file
com.moonsworth.lunar.client.framework.feature.attackindicator.mixin	Attackindicator2Handler	SleepAttackIndicator	sleep indicator provider: method1()=bridge$isSleeping, method2()=bridge$getSleepProgress/100, method6()=bed item (Bridge.method8().method38(Bridge.method28().method33())); registered in the provider registry as "sleep" (quarantined Attackindicator.method2("sleep", ...))	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler.java
com.moonsworth.lunar.client.framework.feature.attackindicator.mixin	Attackindicator2Handler2	AbstractItemAttackIndicator	abstract base provider: method3(BridgeExtension_4 item) is the per-item test, method8(entity) keeps the matching mainhand/offhand item in field4; extended by the Bow/Consumable/Container/Trident/Spear providers	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler2.java
com.moonsworth.lunar.client.framework.feature.attackindicator.mixin	Attackindicator2Handler22	BowAttackIndicator	registered for "bows": method3(item)=bridge$isItemBow()||bridge$isCrossbow(), method2()=crossbow fully charged ? 1.0F : bridge$getItemProgress(), method4()=value==1	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler22.java
com.moonsworth.lunar.client.framework.feature.attackindicator.mixin	Attackindicator2Handler23	ConsumableAttackIndicator	registered for "consumables": method3(item)=bridge$getItemUseAction().isConsumable(), method2()=bridge$isUsingItem() ? 1-bridge$getItemProgress() : 1.0F	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler23.java
com.moonsworth.lunar.client.framework.feature.attackindicator.mixin	Attackindicator2Handler24	ContainerAttackIndicator	registered for "storage": sums bridge$getContainerItems()/bundle stacks into a 0..1 fill value (isBundle ? 64 : 27 slots)	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler24.java
com.moonsworth.lunar.client.framework.feature.attackindicator.mixin	Attackindicator2Handler25	CooldownAttackIndicator	registered for enderPearl/chorusFruit/shields/windCharge: predicate on the item, method2()=1.0F - bridge$getCooldown(item), active only while the cooldown is set	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler25.java
com.moonsworth.lunar.client.framework.feature.attackindicator.mixin	Attackindicator2Handler26	TridentAttackIndicator	registered for "tridents" (MC>=6): isVanilla flag + predicate; method2()=item progress while using the item, else bridge$getAttackStrengthScale(); method7() plays the vanilla sound on a state transition	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler26.java
com.moonsworth.lunar.client.framework.feature.attackindicator.mixin	Attackindicator2Handler262	SpearAttackIndicator	registered for "spears" (MC>=35): extends Attackindicator2Handler26 with Bridge6_4::bridge$isSpear and uses KineticWeaponPhases charge/decay window instead of flat item progress	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler262.java
com.moonsworth.lunar.client.framework.feature.attackindicator.mixin	Attackindicator2Handler3	BlockBreakAttackIndicator	registered for "blockBreaking": method1()=playerController.bridge$isHittingBlock(), method2()=bridge$getBlockDestroyProgress(), icon=stack of the block being destroyed	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler3.java
com.moonsworth.lunar.client.framework.feature.attackindicator.mixin	Attackindicator2Handler4	NonWeaponAttackIndicator	registered for "nonWeapons": isVanilla()=true, active when the held item is empty or not a weapon/tool (sword/axe/pickaxe/shovel/trident/spear), method2()=bridge$getAttackStrengthScale()	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler4.java
com.moonsworth.lunar.client.framework.feature.attackindicator.mixin	Attackindicator2Handler5	MeleeAttackIndicator	registered for swords/axes/pickaxes/shovel: predicate on the held item, method2()=bridge$getAttackStrengthScale(), method4()=fully charged && method10() (pointed entity alive)	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2Handler5.java
com.moonsworth.lunar.client.framework.feature.blockoutline	Gui2Extension	BlockOutlineMode	enum STATIC/RAINBOW/BLEND bound to option "blockOutlineMode" (mod/render/BlockOutline.field10); this is the *outline* mode - the field10.get()!=RAINBOW test gates blockOutlineColor	com/moonsworth/lunar/client/framework/feature/blockoutline/Gui2Extension.java
com.moonsworth.lunar.client.framework.feature.blockoutline	BlockOutlineMode	BlockOverlayMode	enum STATIC/RAINBOW/BLEND/INVERTED/DARKEN bound to option "blockOverlayMode" (mod/render/BlockOutline.field18) and supplies renderType() (MixinHelper5_6.field26/27/28) for the overlay fill; current name describes the wrong option	com/moonsworth/lunar/client/framework/feature/blockoutline/BlockOutlineMode.java
com.moonsworth.lunar.client.framework.feature.autotextactions	Lighting3Loader	AutoTextAction	one configured AutoTextActions trigger: options active/triggerKey/regex/contains/caseSensitive/hideMessage/showTitleAction/titleText/desktopNotification/ingameNotification/playSound, matches(String), getDisplayName() using lang keys gui.autoTextTriggers.*; held in mod/misc/AutoTextActions.actions	com/moonsworth/lunar/client/framework/feature/autotextactions/Lighting3Loader.java
com.moonsworth.lunar.client.framework.feature.chat	Chat	ChatPlayerTracker	tracks lunar chat message ids -> sender Bridge2_33 (Int2ObjectLinkedOpenHashMap field7), resolves player names from message text (rank tags, <name>, From/To prefixes) and exposes the skin via method5(index); used by mod.misc.Chat.method83() and GuiNewChatMessageMixin.lunar$chatHeadSkin/lunar$chatHeadsForCurrentMessage	com/moonsworth/lunar/client/framework/feature/chat/Chat.java
com.moonsworth.lunar.client.framework.feature.chat	Gui2Extension	ProfanityFilterMode	enum OFF/NORMAL/HIGH/CUSTOM bound to option "profanity" (mod.misc.Chat.field30); selects the word lists applied by ChatFilter.method4 (NORMAL=default list, HIGH=strict list, CUSTOM=custom file, OFF=disabled)	com/moonsworth/lunar/client/framework/feature/chat/Gui2Extension.java
com.moonsworth.lunar.client.framework.feature.colorsaturation	ColorsaturationExtension	ColorSaturationShader	post-process shader definition implementing fog.holograms.colorsaturation.mixin.ColorsaturationExtension (method10()="color_saturation", method5 registers Hue/Brightness/Contrast/Saturation uniforms); registered by mod.render.ColorSaturation via Ref.method4().method99().method2("color_saturation", new ColorsaturationExtension())	com/moonsworth/lunar/client/framework/feature/colorsaturation/ColorsaturationExtension.java
com.moonsworth.lunar.client.framework.feature.cooldowns	Cooldowns	Cooldown	abstract single cooldown entry (name, length, CooldownStyle, start time): method6()=expired, method2()=render; base class of ItemCooldown/IconCooldown; not the HUD mod mod.combat.Cooldowns	com/moonsworth/lunar/client/framework/feature/cooldowns/Cooldowns.java
com.moonsworth.lunar.client.framework.feature.cooldowns	Gui2Extension	CooldownTextPosition	enum LEFT/RIGHT/ABOVE/BELOW bound to option "cooldownTextPosition" (mod.combat.Cooldowns.field11); drives text placement in Cooldown.method2/method5	com/moonsworth/lunar/client/framework/feature/cooldowns/Gui2Extension.java
com.moonsworth.lunar.client.framework.feature.cooldowns.mixin	CooldownsImpl	ItemCooldown	Cooldown implementation that renders an item icon with a progress arc (BridgeExtension_4 item, z=-200, scale 1.4); constructed by mod.combat.Cooldowns.method3/method4	com/moonsworth/lunar/client/framework/feature/cooldowns/mixin/CooldownsImpl.java
com.moonsworth.lunar.client.framework.feature.coordinates	CoordinatesChildHudModImpl	CoordinatesBiomeChildMod	Coordinates child created as "Biome" (mod/hud/Coordinates.field24 = CoordinatesChildHudModImpl.method3(this,"Biome","Plains")); option presetBiomeColor, method24() resolves the current biome colour	com/moonsworth/lunar/client/framework/feature/coordinates/CoordinatesChildHudModImpl.java
