package	old	new	evidence	file
com.moonsworth.lunar.client.framework.feature.inventorymod.slot.inventorysearch	ModuleBase2	InventorySearchOverlay	OverlayModule used by mod/player/InventorySearch: renders the "InvSearchOverlay" text input + calculator result, open/close/isOpen; suppliers for theme/scale/position/placeholder/openWithKeybind	com/moonsworth/lunar/client/framework/feature/inventorymod/slot/inventorysearch/ModuleBase2.java
com.moonsworth.lunar.client.framework.feature.keystrokes.mixin	Framework7Extension2	DefaultKeystrokeKey	KeystrokeKey for the built-in game keys (W/A/S/D/space/LMB/RMB): getId "KEYSTROKE_KEY_"+key name, arrow glyphs, mouse/held handling; counterpart of mod/hud/CustomKeystrokeKey	com/moonsworth/lunar/client/framework/feature/keystrokes/mixin/Framework7Extension2.java
com.moonsworth.lunar.client.framework.feature.lightoverlay	LightoverlayHandler3	LightOverlayBoxRenderer	implements lightoverlay.Lightoverlay; draws a 4-line box outline at each position with the light-level colour, end() restores BufferMode.IMMEDIATE; sibling LightoverlayHandler draws the X cross	com/moonsworth/lunar/client/framework/feature/lightoverlay/LightoverlayHandler3.java
com.moonsworth.lunar.client.framework.feature.mod.debug.testcustomguioverlay	ModuleBase2	TestOverlayModule	OverlayModule for the debug "testoverlay": text input + "Text:" button printing to stdout, open/close logging; used by mod/misc/TestCustomGuiOverlay	com/moonsworth/lunar/client/framework/feature/mod/debug/testcustomguioverlay/ModuleBase2.java
com.moonsworth.lunar.client.framework.feature.mod.fishing.coordinates.mixin	CoordinatesType2	SkillXpSource	enum ACTION_BAR/TAB_LIST/SKILLS_MENU: where a skill-XP gain was observed; field2 of SkillXpUpdateEvent, checked by SkyblockSkillGlobe/Progress/Farming HUDs	com/moonsworth/lunar/client/framework/feature/mod/fishing/coordinates/mixin/CoordinatesType2.java
com.moonsworth.lunar.client.framework.feature.mod.fishing.highlight.mixin	Gui2Extension2	HighlightButtonShape	enum SQUARE/ROUNDED_SQUARE/CIRCLE implementing lighting.Gui2Extension with button/border textures skyblock/inventorybuttons/*.png; shape of a HighlightButton	com/moonsworth/lunar/client/framework/feature/mod/fishing/highlight/mixin/Gui2Extension2.java
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.mixin	Holograms2	KuudraWaypoints	kuudra-waypoints.json model: Map<String,Holograms> pearl entries + List<Vector3i> stun points, deserialized by mixin/JsonDeserializerIterator; consumed by Module.method19 and SkyblockKuudraWaypoints	com/moonsworth/lunar/client/framework/feature/mod/fishing/holograms/mixin/Holograms2.java
com.moonsworth.lunar.client.framework.feature.mod.fishing.rewindhandlers	Rewindhandlers2	SeaCreatureRegistry	fishing/sea-creatures.json: id -> Rewindhandlers (name/spawnMessage/rarity/requirements); method2() indexes by id; used by DoubleHookListener and SkyblockSeaCreatureMessages	com/moonsworth/lunar/client/framework/feature/mod/fishing/rewindhandlers/Rewindhandlers2.java
com.moonsworth.lunar.client.framework.feature.mod.gui.mixin	Data2	SettingsLabel	nested Gui$Data2: HudComponent label wrapping a MixinCore5Handler3 text, width = widest label + 8; built by Gui.method3 for the dungeon-waypoint settings rows	com/moonsworth/lunar/client/framework/feature/mod/gui/mixin/Gui.java
com.moonsworth.lunar.client.framework.feature.mod.holograms.gui	GuiRewindhandlersHandler2	WormScathaSpawnListener	GuiRewindhandlersHandler2 listening to EventTick + chat Data; scans entities for "[Lv5] Worm"/"[Lv10] Scatha" and publishes HighlightBase.WormScathaSpawnEvent/Data; enabled in Crystal Hollows	com/moonsworth/lunar/client/framework/feature/mod/holograms/gui/GuiRewindhandlersHandler2.java
com.moonsworth.lunar.client.framework.feature.mod.holograms.nameplate	GuiRewindhandlersHandler2	CropTracker	GuiRewindhandlersHandler2 listening to EventBlockPlace/EventBlockBreakProgress; resolves the current crop HighlightType3 (getIsCrop, CACTUS_KNIFE) and publishes rewindhandlers.Rewindhandlers; read by SkyblockFarmingHud/SkyblockHarvestFeastTrackerHud	com/moonsworth/lunar/client/framework/feature/mod/holograms/nameplate/GuiRewindhandlersHandler2.java
com.moonsworth.lunar.client.framework.feature.mod.impl.alert.excavation	Excavation2	ExcavationGrid	9x6 grid of ExcavationType3 built from a container (method1(List<BridgeExtension_4>)); method2() returns candidate Excavation placements, method4() detects FOSSIL; used by SkyblockFossilExcavationSolver	com/moonsworth/lunar/client/framework/feature/mod/impl/alert/excavation/Excavation2.java
com.moonsworth.lunar.client.framework.feature.mod.impl.calculator	Calculator2	TrackedBlockHighlight	abstract Framework7Extension2 base for particle-detected block highlights (SkyblockEndNodeHighlight, SkyblockGlowingMushroomHighlight): HashSet<Vector3i> positions, EventTick validation, HighlightImpl2 box render	com/moonsworth/lunar/client/framework/feature/mod/impl/calculator/Calculator2.java
com.moonsworth.lunar.client.framework.feature.mod.impl.calculator.mixin	CalculatorType2	RaffleTaskDifficulty	enum EASY/MEDIUM/HARD (label+colour, TASKS_PER_TIER=7) parsed from "Easy Task" lore; difficulty of a SkyBlock raffle task (SkyblockRaffleTasksHud)	com/moonsworth/lunar/client/framework/feature/mod/impl/calculator/mixin/CalculatorType2.java
com.moonsworth.lunar.client.framework.feature.mod.impl.chest.dungeon.practice	Framework7Extension2	TerminalSolverModule	abstract Framework7Extension2 base for the dungeon terminal solvers (SkyblockArrowAlign/ClickInOrder/FirstLetter/MatchColors/SelectColor/SimonSays): isInGui, container title, slot-item checks	com/moonsworth/lunar/client/framework/feature/mod/impl/chest/dungeon/practice/Framework7Extension2.java
com.moonsworth.lunar.client.framework.feature.mod.impl.click.storageoverlay.mixin	Gui2Extension2	ChestsPerRow	enum COUNT_2/3/4/5 implementing lighting.Gui2Extension, id "chestsPerRowN"; storage-overlay chests-per-row option (StorageOverlay)	com/moonsworth/lunar/client/framework/feature/mod/impl/click/storageoverlay/mixin/Gui2Extension2.java
com.moonsworth.lunar.client.framework.feature.mod.impl.ultrasequencer	Framework7Extension2	ExperimentSolverModule	abstract Framework7Extension2 base for the experimentation-table solvers (SkyblockChronomatron/Superpairs/Ultrasequencer): isInGui via GuiRewindhandlersHandler22 + HighlightType	com/moonsworth/lunar/client/framework/feature/mod/impl/ultrasequencer/Framework7Extension2.java
com.moonsworth.lunar.client.framework.feature.onesevenvisuals.modern	Data2	ItemTransform	nested Modern$Data2: one glint transform (position/rotation Vector3f + scale Float) applied to EventRenderGlintTransform; Modern$Data pairs first/third person	com/moonsworth/lunar/client/framework/feature/onesevenvisuals/modern/Modern.java
